Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,,ouvrier,%,9%,9%,6%,5%,2%,0%,0%,5%,0%,1%,9%,5%,,,,,,,,,
,,employé dans le secteur privé,%,5%,1%,6%,2%,0%,0%,0%,0%,0%,1%,9%,3%,,,,,,,,,
,,en formation,%,12%,1%,11%,0%,5%,2%,0%,1%,0%,1%,18%,7%,,,,,,,,,
,,femme au foyer,%,16%,24%,28%,20%,0%,37%,36%,33%,9%,0%,15%,23%,,,,,,,,,
,,pas de profession/jamais travaillé,%,9%,18%,7%,4%,3%,0%,0%,7%,3%,2%,7%,5%,,,,,,,,,
,,"Autre, spécifier",%,6%,3%,2%,3%,1%,6%,0%,0%,3%,6%,4%,4%,,,,,,,,,
,Principale occupation economique (menage),"profession libérale (médecin, avocat, etc.)",%,0%,0%,3%,0%,0%,0%,0%,0%,2%,0%,1%,1%,,,,,,,,,
,,"industriel, patron d'entreprise",%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,"indépendant, artisan, commerçant",%,35%,6%,36%,61%,12%,13%,8%,8%,3%,4%,37%,23%,,,,,,,,,
,,"agriculteur, éleveur, pécheur",%,24%,39%,37%,23%,74%,41%,89%,82%,83%,84%,8%,45%,,,,,,,,,
,,fonctionnaire,%,6%,1%,5%,1%,1%,0%,2%,0%,0%,0%,7%,3%,,,,,,,,,
,,ouvrier,%,6%,5%,2%,11%,2%,0%,0%,6%,1%,1%,7%,4%,,,,,,,,,
,,employé dans le secteur privé,%,5%,0%,6%,1%,0%,0%,0%,1%,0%,1%,7%,3%,,,,,,,,,
,,en formation,%,7%,1%,0%,0%,5%,1%,0%,0%,0%,0%,10%,3%,,,,,,,,,
,,femme au foyer,%,5%,41%,0%,0%,0%,41%,0%,1%,1%,0%,12%,11%,,,,,,,,,
,,pas de profession/jamais travaillé,%,2%,7%,0%,0%,3%,1%,0%,2%,2%,2%,4%,2%,,,,,,,,,
,,"Autre, spécifier",%,9%,0%,9%,1%,2%,3%,0%,0%,7%,8%,6%,5%,,,,,,,,,
,Biens (% possédant le bien),Table,%,77%,47%,93%,78%,71%,72%,80%,96%,75%,52%,80%,76%,,,,,,,,,
,,Chaises,%,75%,49%,90%,96%,69%,75%,85%,96%,75%,46%,73%,76%,,,,,,,,,
,,Lit,%,84%,49%,82%,92%,74%,17%,72%,45%,49%,41%,86%,65%,,,,,,,,,
,,Radio fonctionnelle,%,77%,29%,71%,72%,44%,25%,65%,37%,24%,20%,81%,56%,,,,,,,,,
,,Lecteur de CD,%,23%,1%,17%,4%,10%,1%,1%,0%,1%,1%,44%,14%,,,,,,,,,
,,Télévision,%,29%,2%,17%,3%,10%,4%,0%,0%,2%,0%,55%,17%,,,,,,,,,
,,Vélo,%,25%,14%,25%,11%,24%,41%,57%,24%,22%,28%,27%,29%,,,,,,,,,
,,Autre vehicule/ moyens de transport,%,28%,1%,32%,26%,19%,40%,58%,28%,4%,29%,32%,29%,,,,,,,,,
,,Téléphone postable,%,75%,15%,44%,43%,28%,13%,42%,19%,25%,18%,89%,45%,,,,,,,,,
,,Accès à l’électricité,%,44%,1%,17%,1%,2%,0%,1%,0%,2%,1%,75%,21%,,,,,,,,,
,Revenu moyen mensuel du ménage (FCFA),Aucun (0),%,2%,0%,0%,0%,0%,4%,0%,0%,0%,15%,1%,2%,,,,,,,,,
,,< 10 000 / mois,%,10%,19%,3%,3%,42%,31%,19%,31%,40%,60%,3%,19%,,,,,,,,,
,,10 001 a 20 000 / mois,%,12%,26%,12%,27%,13%,7%,40%,14%,30%,10%,10%,18%,,,,,,,,,
,,20 001 a 30 000 / mois,%,15%,19%,14%,23%,12%,6%,22%,23%,15%,9%,16%,16%,,,,,,,,,
,,30 001 a 40 000 / mois,%,19%,21%,25%,20%,24%,34%,15%,17%,6%,4%,22%,20%,,,,,,,,,
,,40 001 - 100 000 / mois,%,29%,15%,33%,18%,9%,14%,2%,14%,7%,2%,28%,18%,,,,,,,,,
,,100 001 - 200 000 / mois,%,11%,0%,11%,8%,0%,0%,1%,1%,1%,0%,14%,6%,,,,,,,,,
,,200 001 - 400 000 / mois,%,2%,0%,2%,0%,0%,0%,0%,1%,0%,0%,4%,1%,,,,,,,,,
,,>400 000 / mois,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,,,,,,,,,
,,ne sait pas,%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,1%,1%,,,,,,,,,
PRIORITES,TROIS priorites ou preoccupations actuelles (% repondants - reponses multiples),Securite,%,49%,24%,60%,50%,33%,89%,70%,79%,43%,17%,53%,56%,,,,,,,,,
,,Paix,%,51%,40%,50%,32%,32%,60%,46%,58%,54%,33%,58%,50%,,,,,,,,,
,,Justice pour les violences commises durant les conflits,%,11%,10%,21%,35%,3%,49%,37%,40%,11%,0%,14%,22%,,,,,,,,,
,,"Presence de l'Etat (prefet, sous-prefet, etc…)",%,8%,9%,1%,1%,1%,2%,10%,20%,5%,1%,7%,6%,,,,,,,,,
,,Une maison,%,11%,7%,3%,5%,2%,1%,6%,5%,10%,2%,17%,8%,,,,,,,,,
,,Un travail,%,19%,9%,22%,19%,8%,1%,7%,1%,11%,18%,26%,15%,,,,,,,,,
,,Acces a la sante,%,40%,77%,34%,60%,66%,31%,34%,14%,48%,82%,27%,42%,,,,,,,,,
,,Acces a l'education,%,31%,66%,33%,47%,55%,21%,25%,1%,37%,59%,24%,33%,,,,,,,,,
,,Acces a la nourriture,%,20%,20%,17%,21%,9%,2%,11%,47%,16%,35%,16%,17%,,,,,,,,,
,,La justice en general,%,12%,1%,12%,5%,5%,4%,19%,6%,4%,0%,12%,8%,,,,,,,,,
,,Meilleures routes,%,16%,17%,11%,15%,29%,24%,7%,5%,6%,10%,6%,13%,,,,,,,,,
,,Plus d'argent,%,24%,9%,9%,15%,13%,1%,13%,5%,17%,6%,21%,13%,,,,,,,,,
,,Plus de developpement,%,25%,15%,30%,14%,26%,17%,11%,18%,26%,11%,27%,20%,,,,,,,,,
,,Autre,%,2%,1%,0%,0%,18%,0%,5%,0%,10%,24%,4%,4%,,,,,,,,,
INFORMATION,Principale source d'information (% répondants),"Amis, famille",%,19%,63%,12%,38%,42%,29%,19%,58%,49%,45%,11%,28%,,,,,,,,,
,,Radio,%,68%,34%,75%,61%,56%,60%,73%,32%,27%,30%,80%,61%,,,,,,,,,
,,Télévision,%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Journaux écrits,%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,,,,,,,,,
,,Autorités,%,2%,2%,13%,0%,0%,9%,8%,9%,15%,2%,0%,6%,,,,,,,,,
,,Internet,%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,1%,,,,,,,,,
,,"Autre, spécifier",%,7%,0%,0%,0%,1%,1%,0%,1%,9%,23%,3%,3%,,,,,,,,,
,Fréquence d'écoute pour la radio par semaine (% répondants),Tous les jours,%,57%,17%,35%,38%,22%,16%,44%,29%,34%,8%,54%,36%,,,,,,,,,
,,2-6 jours par semaine,%,15%,18%,23%,34%,15%,36%,13%,3%,5%,0%,17%,19%,,,,,,,,,
,,1 jour par semaine,%,4%,24%,11%,9%,7%,15%,13%,6%,17%,0%,6%,11%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,3%,9%,14%,1%,6%,6%,7%,13%,3%,2%,4%,6%,,,,,,,,,
,,Rarement,%,20%,31%,17%,17%,13%,18%,22%,26%,24%,69%,17%,22%,,,,,,,,,
,,Jamais,%,2%,1%,0%,1%,37%,9%,1%,22%,18%,21%,1%,6%,,,,,,,,,
,Programmes de radio écoutés (% répondants - réponses multiples),"Information, nouvelles",%,71%,66%,91%,77%,85%,83%,88%,45%,51%,75%,76%,76%,,,,,,,,,
,,Contenu ou education religieux,%,51%,39%,30%,54%,22%,13%,66%,16%,4%,3%,48%,36%,,,,,,,,,
,,Emissions/ appels sur l'actualite,%,30%,7%,32%,24%,37%,7%,7%,11%,33%,4%,31%,22%,,,,,,,,,
,,Communiques officiels du gouvernement,%,29%,7%,20%,35%,5%,32%,25%,8%,7%,41%,32%,24%,,,,,,,,,
,,Communiques prives,%,24%,2%,29%,67%,0%,19%,8%,0%,0%,2%,18%,18%,,,,,,,,,
,,"Emissions educatives (sante, environnement, etc…)",%,26%,8%,23%,47%,4%,10%,56%,5%,38%,41%,26%,27%,,,,,,,,,
,,Musique,%,29%,18%,63%,76%,25%,13%,48%,60%,6%,5%,31%,34%,,,,,,,,,
,,"Sports - football, autre",%,14%,6%,15%,7%,12%,0%,13%,2%,1%,3%,17%,10%,,,,,,,,,
,,Jeux concours,%,16%,0%,27%,24%,0%,2%,6%,1%,0%,0%,21%,11%,,,,,,,,,
,,Debats,%,43%,18%,33%,16%,15%,18%,22%,3%,13%,5%,41%,26%,,,,,,,,,
,,Autre,%,5%,0%,0%,2%,3%,9%,2%,17%,21%,24%,3%,6%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,3%,13%,6%,0%,0%,0%,0%,0%,1%,,,,,,,,,
,Ecoute des sessions criminelles a la radio,% oui,%,76%,49%,63%,21%,16%,53%,81%,30%,45%,32%,85%,61%,,,,,,,,,
COHÉSION SOCIALE,Relations avec les personnes ou groupes suivants (% relations positives),"Vos parents, enfants, époux(se)",%,94%,87%,99%,100%,81%,98%,96%,88%,74%,92%,91%,91%,,,,,,,,,
,,Vos amis,%,71%,81%,90%,98%,66%,74%,79%,61%,40%,88%,68%,72%,,,,,,,,,
,,"Plus généralement, avec les personnes de votre quartier/ village",%,85%,82%,91%,98%,64%,78%,88%,77%,70%,91%,78%,81%,,,,,,,,,
,,Les membres de votre groupe ethnique,%,87%,85%,97%,98%,71%,71%,96%,87%,72%,94%,85%,85%,,,,,,,,,
,,Les membres d'autres groupes ethniques,%,64%,82%,88%,95%,63%,74%,79%,76%,63%,88%,67%,74%,,,,,,,,,
,,Les membres de votre religion,%,93%,88%,96%,99%,65%,73%,96%,97%,74%,100%,86%,87%,,,,,,,,,
,,Les membres d'autres religions (chrétiens et musulmans),%,67%,71%,86%,92%,53%,70%,78%,78%,65%,90%,71%,73%,,,,,,,,,
,Tensions intercommunautaires dans votre village / quartier,% oui,%,8%,7%,3%,0%,2%,1%,6%,4%,2%,0%,3%,4%,,,,,,,,,
,Diminution des tensions ethniques / religieuses dans le quartier/ village au cours des 12 derniers mois,% oui,%,90%,96%,88%,100%,80%,91%,72%,74%,81%,98%,91%,87%,,,,,,,,,
,Niveau de confiance dans les personnes ou groupes suivants (% confiant):,"Vos parents, enfants, époux",%,86%,82%,96%,100%,83%,82%,96%,91%,54%,87%,85%,86%,,,,,,,,,
,,Vos amis,%,37%,74%,68%,93%,58%,47%,62%,58%,16%,71%,37%,52%,,,,,,,,,
,,Les gens de ce quartier/ village,%,50%,72%,57%,91%,50%,66%,68%,67%,52%,82%,46%,60%,,,,,,,,,
,,Les gens de votre groupe ethnique,%,67%,82%,86%,94%,67%,65%,88%,77%,55%,88%,62%,73%,,,,,,,,,
,,Les gens d'un autre groupe ethnique,%,38%,71%,57%,80%,44%,61%,61%,63%,37%,71%,41%,54%,,,,,,,,,
,,Les gens de votre groupe religieux,%,70%,88%,84%,93%,60%,66%,88%,97%,61%,93%,69%,76%,,,,,,,,,
,,Les gens d'une autre religion,%,40%,78%,51%,80%,32%,60%,62%,76%,45%,70%,43%,55%,,,,,,,,,
,,"Les autorités administratives locales (chefs de village, mairies, etc…)",%,60%,69%,73%,92%,33%,61%,77%,70%,51%,94%,49%,64%,,,,,,,,,
,,"Les autorités adminsitratives prefectorales/ Bangui (prefets, sous-prefets)",%,49%,38%,66%,75%,13%,56%,70%,68%,50%,70%,44%,55%,,,,,,,,,
,,Les autorités adminsitratives nationales,%,55%,37%,68%,65%,11%,52%,65%,74%,52%,70%,49%,55%,,,,,,,,,
,,Les ONGs nationales,%,59%,67%,70%,58%,17%,63%,62%,66%,60%,76%,63%,62%,,,,,,,,,
,,Les ONGs internationales,%,53%,54%,85%,57%,19%,61%,68%,65%,59%,77%,59%,62%,,,,,,,,,
,,Les Nations Unies,%,43%,46%,70%,46%,27%,61%,81%,62%,50%,73%,47%,56%,,,,,,,,,
,,La radio de la MINUSCA,%,41%,40%,67%,57%,7%,18%,67%,80%,33%,54%,46%,46%,,,,,,,,,
,,Les radios nationales centrafricaines,%,73%,53%,91%,91%,17%,40%,69%,87%,43%,56%,73%,65%,,,,,,,,,
,Niveau de confort avec les personnes ou groupes suivants (% confortable):,Des personnes déplacées,%,91%,98%,95%,100%,91%,100%,99%,100%,56%,100%,93%,93%,,,,,,,,,
,,Des musulmans,%,71%,72%,86%,96%,59%,80%,39%,84%,56%,38%,82%,71%,,,,,,,,,
,,Des chrétiens,%,95%,99%,96%,100%,98%,100%,100%,100%,94%,99%,98%,98%,,,,,,,,,
,,Des Tchadiens,%,57%,66%,49%,55%,4%,55%,39%,91%,46%,48%,70%,55%,,,,,,,,,
,,Des anciens combatants des groupes armes,%,37%,23%,49%,10%,4%,28%,6%,20%,44%,12%,41%,29%,,,,,,,,,
STÉRÉOTYPES ENVERS D'AUTRES GROUPES ET DISCRIMINATION,Discrimination (% oui),Traite injustement à cause de votre religion (% oui),%,15%,4%,25%,20%,3%,8%,36%,3%,14%,13%,16%,16%,,,,,,,,,
,,Dans les 12 derniers mois,%,22%,0%,26%,4%,50%,39%,28%,13%,91%,90%,27%,34%,,,,,,,,,
,,Traite injustement à cause de votre groupe ethnique (% oui),%,15%,7%,9%,17%,5%,7%,28%,3%,12%,11%,14%,13%,,,,,,,,,
,,Dans les 12 derniers mois,%,13%,7%,44%,5%,60%,12%,23%,47%,93%,96%,29%,35%,,,,,,,,,
,Religion (% répondants),Chrétien  - Protestant,%,67%,65%,78%,89%,96%,89%,98%,76%,58%,86%,66%,78%,,,,,,,,,
,,Musulman,%,1%,0%,11%,7%,1%,1%,0%,1%,0%,1%,11%,4%,,,,,,,,,
,,Animiste,%,1%,2%,1%,3%,2%,0%,1%,0%,0%,0%,1%,1%,,,,,,,,,
,,Adventiste,%,4%,7%,7%,0%,0%,0%,0%,3%,0%,5%,4%,3%,,,,,,,,,
,,Kimbanguiste,%,1%,7%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Témoin de Jéhovah,%,3%,1%,2%,1%,0%,0%,0%,0%,0%,0%,5%,2%,,,,,,,,,
,,"Autre, spécifier",%,23%,18%,0%,0%,0%,10%,0%,20%,42%,8%,12%,12%,,,,,,,,,
ENGAGEMENT CIVIQUE,Membre d'un groupe ou association,Oui,%,69%,59%,70%,68%,27%,39%,89%,62%,64%,21%,55%,60%,,,,,,,,,
,Type de groupe ou association (% oui - réponses multiples),"Culturel, danse, théâtre",%,2%,3%,12%,1%,17%,5%,1%,0%,2%,0%,5%,4%,,,,,,,,,
,,Groupe sportif/ equipe,%,12%,2%,16%,2%,26%,1%,7%,0%,1%,0%,11%,8%,,,,,,,,,
,,Groupe agricole/ associations,%,22%,34%,15%,45%,55%,47%,64%,51%,63%,21%,11%,37%,,,,,,,,,
,,Groupes d'epargnes,%,11%,5%,17%,10%,3%,19%,9%,6%,1%,10%,8%,10%,,,,,,,,,
,,Groupes scolaires,%,3%,2%,5%,5%,60%,5%,5%,1%,0%,0%,3%,4%,,,,,,,,,
,,Organisation politique,%,3%,1%,7%,1%,3%,0%,2%,2%,0%,6%,5%,3%,,,,,,,,,
,,Groupes religieux,%,79%,69%,69%,76%,22%,44%,82%,54%,91%,19%,65%,70%,,,,,,,,,
,,ONG,%,4%,0%,4%,2%,0%,0%,3%,1%,0%,0%,5%,2%,,,,,,,,,
,,Groupes de defense des droits de l'homme,%,1%,0%,2%,0%,0%,0%,2%,0%,0%,0%,1%,1%,,,,,,,,,
,,Syndicats,%,0%,0%,2%,0%,0%,0%,2%,0%,0%,0%,1%,1%,,,,,,,,,
,,Groupe de gestion de l'eau,%,1%,5%,4%,9%,3%,9%,9%,1%,1%,0%,1%,5%,,,,,,,,,
,,Groupes de jeunes,%,10%,12%,15%,6%,22%,4%,10%,13%,16%,17%,9%,11%,,,,,,,,,
,,Groupes de femmes,%,14%,23%,16%,23%,14%,16%,6%,7%,2%,52%,16%,15%,,,,,,,,,
,,Groupe de la paix,%,7%,2%,8%,5%,29%,0%,24%,20%,1%,10%,7%,9%,,,,,,,,,
,,Groupe d'auto-defense,%,2%,0%,0%,0%,5%,0%,7%,1%,1%,0%,0%,2%,,,,,,,,,
,,Groupe de sante,%,2%,2%,3%,3%,5%,0%,6%,2%,0%,4%,1%,2%,,,,,,,,,
,,Groupe ethnique,%,10%,2%,3%,0%,2%,5%,4%,1%,1%,0%,6%,4%,,,,,,,,,
,,Comite de reconciliation,%,3%,2%,8%,1%,5%,0%,7%,1%,20%,19%,4%,5%,,,,,,,,,
,,Autre,%,7%,0%,1%,2%,2%,0%,0%,0%,1%,0%,6%,2%,,,,,,,,,
,Acceptable d'utiliser la violence dans les situations suivantes (% oui):,Protéger la communauté,%,12%,16%,44%,2%,10%,49%,50%,0%,62%,3%,14%,27%,,,,,,,,,
,,Rétablir la sécurité,%,21%,28%,62%,17%,50%,50%,54%,1%,88%,10%,21%,37%,,,,,,,,,
,,Résoudre les conflits,%,17%,24%,36%,4%,53%,34%,56%,0%,88%,10%,17%,32%,,,,,,,,,
,,Promouvoir un politicien,%,9%,13%,10%,0%,14%,7%,38%,0%,16%,5%,12%,12%,,,,,,,,,
PERCEPTIONS DES SERVICES/ PERFORMANCES/ REPRÉSENTATION,Perception des services (% bon et très bon),Logement,%,50%,24%,46%,38%,23%,15%,25%,47%,28%,9%,51%,35%,,,,,,,,,
,,Accès à l'eau potable,%,26%,18%,58%,39%,17%,69%,35%,19%,29%,17%,27%,36%,,,,,,,,,
,,Accès à la nourriture,%,40%,14%,46%,40%,13%,20%,31%,25%,24%,3%,41%,30%,,,,,,,,,
,,Accès aux soins de santé,%,32%,4%,38%,35%,10%,31%,10%,19%,14%,3%,45%,26%,,,,,,,,,
,,Accès aux services d'éducation (pour vous ou vos enfants),%,45%,12%,48%,32%,17%,44%,39%,46%,51%,29%,55%,42%,,,,,,,,,
,,Possibilités de trouver un emploi / du travail,%,22%,4%,23%,2%,0%,9%,1%,20%,9%,1%,22%,12%,,,,,,,,,
,,Accès à l'information / aux nouvelles,%,41%,4%,48%,52%,36%,2%,31%,43%,55%,22%,46%,33%,,,,,,,,,
,,Qualite des services administratifs de l'Etat,%,50%,14%,54%,32%,26%,6%,45%,50%,44%,13%,47%,36%,,,,,,,,,
,Perception des efforts de l'État (% positif),Pour réduire la pauvreté,%,47%,28%,48%,6%,60%,45%,51%,23%,69%,45%,56%,46%,,,,,,,,,
,,"Pour améliorer l'emploi, la situation économique",%,44%,26%,47%,3%,54%,41%,42%,21%,67%,62%,51%,43%,,,,,,,,,
,,Pour établir la paix,%,62%,44%,81%,33%,93%,48%,81%,35%,71%,74%,68%,63%,,,,,,,,,
,,Pour établir la sécurité,%,57%,43%,54%,14%,86%,48%,66%,33%,72%,74%,65%,56%,,,,,,,,,
,,Pour lutter contre la corruption,%,24%,33%,33%,3%,56%,11%,65%,21%,68%,34%,32%,34%,,,,,,,,,
,,Pour lutter contre l'impunité,%,54%,39%,51%,7%,88%,39%,87%,26%,72%,68%,60%,54%,,,,,,,,,
,,Pour unir les différents groupes ethniques et religieux,%,63%,47%,86%,48%,71%,60%,84%,63%,71%,73%,71%,68%,,,,,,,,,
,Perception des efforts des acteurs suivants pour améliorer la vie des centrafricains (% bon et très bon),ONG internationales,%,72%,62%,92%,51%,62%,62%,85%,59%,71%,80%,76%,72%,,,,,,,,,
,,ONG nationales,%,76%,65%,81%,50%,56%,71%,84%,61%,73%,80%,77%,73%,,,,,,,,,
,,Nations Unies,%,56%,44%,75%,49%,69%,62%,91%,57%,69%,79%,65%,65%,,,,,,,,,
,,État,%,71%,32%,47%,50%,54%,57%,63%,30%,67%,74%,69%,58%,,,,,,,,,
,Perception de la représentation de la population par les acteurs suivants (% bien et très bien),Les autorités d'administration locales (Chefs de quartier ou de village),%,79%,64%,77%,96%,78%,93%,78%,85%,72%,89%,69%,79%,,,,,,,,,
,,Les autorités administratives au niveau de la préfecture,%,59%,24%,62%,66%,23%,43%,77%,69%,51%,51%,56%,56%,,,,,,,,,
,,Le gouvernment central / national,%,63%,17%,58%,37%,15%,43%,64%,68%,53%,54%,65%,52%,,,,,,,,,
,Perception du travail des autorités administratives (% professionnel),Les autorités d'administration locales (Chefs de quartier ou de village),%,83%,82%,73%,97%,94%,80%,68%,76%,76%,92%,80%,80%,,,,,,,,,
,,Le gouvernment central / national,%,70%,66%,67%,72%,91%,65%,66%,63%,61%,79%,73%,69%,,,,,,,,,
,Perception du travail des autorités administratives (% qui disent qu'ils sont corrompus),Les autorités d'administration locales (Chefs de quartier ou de village),%,24%,39%,48%,35%,31%,19%,18%,28%,10%,11%,30%,26%,,,,,,,,,
,,Le gouvernment central / national,%,36%,28%,67%,25%,2%,11%,19%,43%,29%,12%,34%,29%,,,,,,,,,
SANTE,Porter un jerrycan d'eau de 20 litres sur une distance de 20 mètres (% répondantsi),Facilement,%,63%,25%,40%,38%,57%,26%,42%,7%,21%,18%,63%,42%,,,,,,,,,
,,Avec un peu de difficultes,%,15%,35%,18%,51%,21%,21%,24%,58%,10%,31%,15%,23%,,,,,,,,,
,,Avec beaucoup de difficultes,%,15%,25%,35%,11%,14%,52%,17%,34%,35%,51%,15%,26%,,,,,,,,,
,,Pas du tout,%,7%,14%,7%,0%,7%,1%,18%,1%,34%,0%,6%,9%,,,,,,,,,
,Perception de l'état de santé (% répondants),Très mauvaise,%,3%,36%,10%,0%,3%,3%,15%,4%,20%,39%,2%,10%,,,,,,,,,
,,Mauvais,%,13%,12%,24%,11%,26%,44%,14%,57%,33%,56%,14%,25%,,,,,,,,,
,,Moyen,%,17%,17%,1%,46%,39%,38%,36%,12%,9%,1%,20%,22%,,,,,,,,,
,,Bon,%,53%,19%,55%,43%,31%,15%,30%,27%,29%,4%,52%,35%,,,,,,,,,
,,Très bon,%,14%,17%,11%,0%,1%,0%,6%,0%,8%,0%,12%,7%,,,,,,,,,
,"Dans le DERNIER MOIS, des problèmes émotionnels ont limité los activités sociales habituelles avec les amis ou la famille (% répondants)",Jamais,%,59%,75%,61%,46%,65%,75%,34%,9%,76%,43%,58%,57%,,,,,,,,,
,,Une fois de temps en temps,%,33%,18%,21%,51%,35%,21%,39%,68%,14%,56%,30%,31%,,,,,,,,,
,,Deux à quatre fois par semaine,%,6%,6%,13%,3%,0%,3%,19%,22%,7%,0%,10%,9%,,,,,,,,,
,,Cinq fois par semaine,%,1%,1%,5%,0%,0%,0%,7%,1%,3%,0%,2%,3%,,,,,,,,,
,"Dans le DERNIER MOIS, problèmes émotionnels ont limité les activités quotidiennes habituelles comme faire son travail (% répondants)",Jamais,%,66%,77%,51%,43%,60%,86%,58%,6%,89%,78%,62%,64%,,,,,,,,,
,,Une fois de temps en temps,%,27%,17%,26%,54%,39%,12%,32%,77%,7%,22%,28%,27%,,,,,,,,,
,,Deux à quatre fois par semaine,%,6%,5%,9%,3%,1%,2%,9%,14%,3%,0%,9%,6%,,,,,,,,,
,,Cinq fois par semaine,%,1%,1%,14%,0%,0%,0%,1%,2%,1%,0%,2%,2%,,,,,,,,,
CONFLITS ET DISPUTES,Niveau de conflits dans ce quartier/ village (% répondants),Jamais,%,17%,36%,0%,5%,46%,3%,1%,6%,54%,32%,14%,15%,,,,,,,,,
,,Rarement,%,46%,25%,18%,41%,26%,25%,13%,26%,14%,41%,42%,30%,,,,,,,,,
,,Parfois,%,24%,35%,40%,49%,25%,69%,49%,36%,29%,24%,30%,39%,,,,,,,,,
,,Souvent,%,9%,3%,33%,5%,3%,2%,13%,22%,2%,2%,11%,10%,,,,,,,,,
,,Tout le temps,%,3%,0%,10%,0%,0%,0%,24%,10%,1%,0%,3%,5%,,,,,,,,,
,Principaux types de différends/ disputes (% répondants - réponses multiples),Aucun conflit,%,12%,11%,0%,4%,31%,21%,0%,3%,17%,47%,11%,12%,,,,,,,,,
,,"Questions d’autorités, de pouvoir",%,10%,7%,12%,4%,18%,0%,13%,8%,9%,0%,5%,8%,,,,,,,,,
,,Dispute domestiques/ différends familiaux,%,55%,74%,67%,78%,34%,46%,71%,54%,66%,45%,52%,58%,,,,,,,,,
