Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,,10 001 a 20 000 / mois,%,3%,14%,15%,12%,2%,7%,14%,5%,14%,5%,13%,8%,10%,,,,,,,,,
,,20 001 a 30 000 / mois,%,11%,19%,15%,17%,9%,12%,20%,18%,16%,13%,12%,16%,16%,,,,,,,,,
,,30 001 a 40 000 / mois,%,15%,20%,24%,22%,17%,13%,30%,22%,25%,16%,19%,26%,22%,,,,,,,,,
,,40 001 - 100 000 / mois,%,36%,23%,33%,34%,16%,26%,15%,35%,30%,30%,34%,30%,29%,,,,,,,,,
,,100 001 - 200 000 / mois,%,19%,9%,10%,11%,23%,20%,4%,15%,10%,24%,16%,13%,14%,,,,,,,,,
,,200 001 - 400 000 / mois,%,13%,2%,0%,1%,21%,15%,1%,1%,1%,10%,5%,2%,4%,,,,,,,,,
,,>400 000 / mois,%,2%,0%,0%,0%,13%,3%,0%,0%,0%,1%,1%,0%,1%,,,,,,,,,
,,ne sait pas,%,0%,1%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,1%,,,,,,,,,
PRIORITES,TROIS priorites ou preoccupations actuelles (% repondants - reponses multiples),Securite,%,40%,49%,53%,50%,56%,52%,39%,54%,60%,50%,50%,59%,51%,,,,,,,,,
,,Paix,%,51%,52%,48%,49%,60%,60%,56%,51%,71%,47%,50%,60%,56%,,,,,,,,,
,,Justice pour les violences commises durant les conflits,%,15%,16%,9%,10%,19%,15%,12%,10%,16%,16%,15%,16%,14%,,,,,,,,,
,,"Presence de l'Etat (prefet, sous-prefet, etc…)",%,12%,11%,6%,5%,14%,10%,5%,2%,8%,11%,6%,3%,7%,,,,,,,,,
,,Une maison,%,19%,14%,17%,15%,15%,15%,9%,14%,20%,19%,21%,19%,17%,,,,,,,,,
,,Un travail,%,32%,25%,28%,25%,31%,29%,23%,29%,19%,33%,32%,25%,27%,,,,,,,,,
,,Acces a la sante,%,51%,35%,30%,28%,36%,35%,11%,26%,20%,48%,35%,25%,29%,,,,,,,,,
,,Acces a l'education,%,36%,24%,31%,30%,30%,25%,15%,29%,21%,33%,30%,23%,26%,,,,,,,,,
,,Acces a la nourriture,%,24%,25%,11%,15%,16%,21%,10%,16%,17%,16%,18%,18%,17%,,,,,,,,,
,,La justice en general,%,6%,12%,11%,16%,6%,7%,25%,14%,11%,6%,7%,8%,12%,,,,,,,,,
,,Meilleures routes,%,7%,11%,14%,4%,6%,5%,8%,8%,5%,7%,5%,7%,7%,,,,,,,,,
,,Plus d'argent,%,30%,29%,15%,25%,24%,29%,16%,22%,15%,29%,24%,18%,22%,,,,,,,,,
,,Plus de developpement,%,22%,23%,21%,23%,30%,26%,50%,19%,24%,25%,20%,20%,26%,,,,,,,,,
,,Autre,%,2%,2%,5%,5%,1%,2%,7%,3%,6%,1%,2%,4%,4%,,,,,,,,,
INFORMATION,Principale source d'information (% répondants),"Amis, famille",%,11%,15%,12%,7%,5%,5%,15%,9%,14%,7%,14%,10%,11%,,,,,,,,,
,,Radio,%,78%,77%,79%,85%,71%,85%,73%,85%,80%,83%,77%,81%,80%,,,,,,,,,
,,Télévision,%,1%,0%,1%,1%,10%,2%,7%,0%,1%,3%,1%,1%,2%,,,,,,,,,
,,Journaux écrits,%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,1%,1%,1%,,,,,,,,,
,,Autorités,%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Internet,%,9%,2%,0%,1%,12%,6%,2%,1%,2%,6%,2%,1%,3%,,,,,,,,,
,,"Autre, spécifier",%,1%,5%,7%,5%,1%,0%,3%,4%,3%,0%,4%,5%,3%,,,,,,,,,
,Fréquence d'écoute pour la radio par semaine (% répondants),Tous les jours,%,67%,57%,52%,57%,76%,71%,34%,52%,56%,64%,57%,51%,55%,,,,,,,,,
,,2-6 jours par semaine,%,10%,12%,28%,24%,7%,8%,20%,21%,20%,11%,15%,24%,18%,,,,,,,,,
,,1 jour par semaine,%,1%,5%,4%,6%,1%,2%,18%,5%,4%,0%,5%,5%,5%,,,,,,,,,
,,Une fois a toutes les deux semaines,%,0%,3%,2%,1%,0%,0%,13%,3%,4%,1%,2%,2%,3%,,,,,,,,,
,,Rarement,%,19%,22%,13%,10%,13%,17%,14%,17%,14%,23%,22%,19%,17%,,,,,,,,,
,,Jamais,%,3%,2%,1%,1%,3%,2%,1%,1%,2%,1%,0%,0%,1%,,,,,,,,,
,Programmes de radio écoutés (% répondants - réponses multiples),"Information, nouvelles",%,78%,74%,71%,74%,78%,77%,85%,73%,76%,77%,76%,69%,76%,,,,,,,,,
,,Contenu ou education religieux,%,45%,57%,61%,63%,42%,46%,25%,63%,48%,51%,52%,55%,50%,,,,,,,,,
,,Emissions/ appels sur l'actualite,%,38%,37%,37%,40%,39%,39%,17%,32%,32%,32%,32%,37%,33%,,,,,,,,,
,,Communiques officiels du gouvernement,%,30%,27%,33%,33%,35%,31%,24%,39%,27%,31%,35%,38%,31%,,,,,,,,,
,,Communiques prives,%,20%,29%,23%,32%,19%,21%,6%,19%,17%,18%,20%,25%,20%,,,,,,,,,
,,"Emissions educatives (sante, environnement, etc…)",%,22%,27%,27%,31%,27%,24%,20%,28%,29%,17%,28%,34%,26%,,,,,,,,,
,,Musique,%,24%,31%,29%,31%,26%,33%,35%,30%,28%,36%,30%,30%,31%,,,,,,,,,
,,"Sports - football, autre",%,14%,14%,14%,14%,21%,16%,22%,14%,14%,18%,13%,17%,16%,,,,,,,,,
,,Jeux concours,%,20%,20%,20%,20%,20%,18%,15%,23%,19%,26%,24%,27%,21%,,,,,,,,,
,,Debats,%,57%,50%,40%,40%,57%,48%,29%,43%,35%,51%,43%,47%,43%,,,,,,,,,
,,Autre,%,5%,5%,5%,3%,1%,1%,1%,5%,6%,0%,5%,5%,4%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Ecoute des sessions criminelles a la radio,% oui,%,82%,81%,80%,82%,90%,88%,73%,88%,89%,82%,84%,87%,84%,,,,,,,,,
COHÉSION SOCIALE,Relations avec les personnes ou groupes suivants (% relations positives),"Vos parents, enfants, époux(se)",%,99%,93%,90%,92%,97%,96%,88%,89%,86%,99%,95%,90%,92%,,,,,,,,,
,,Vos amis,%,81%,75%,65%,59%,76%,76%,82%,58%,61%,74%,68%,61%,69%,,,,,,,,,
,,"Plus généralement, avec les personnes de votre quartier/ village",%,92%,92%,84%,80%,80%,83%,79%,72%,74%,87%,77%,74%,80%,,,,,,,,,
,,Les membres de votre groupe ethnique,%,94%,87%,86%,80%,92%,91%,85%,76%,80%,95%,90%,82%,85%,,,,,,,,,
,,Les membres d'autres groupes ethniques,%,78%,73%,68%,61%,73%,71%,78%,57%,60%,76%,69%,60%,67%,,,,,,,,,
,,Les membres de votre religion,%,98%,95%,90%,88%,98%,96%,88%,79%,80%,96%,87%,80%,88%,,,,,,,,,
,,Les membres d'autres religions (chrétiens et musulmans),%,83%,77%,73%,62%,78%,77%,80%,65%,65%,81%,71%,63%,72%,,,,,,,,,
,Tensions intercommunautaires dans votre village / quartier,% oui,%,9%,7%,12%,5%,7%,5%,0%,0%,4%,5%,5%,0%,4%,,,,,,,,,
,Diminution des tensions ethniques / religieuses dans le quartier/ village au cours des 12 derniers mois,% oui,%,85%,95%,96%,95%,81%,85%,96%,95%,86%,92%,90%,93%,91%,,,,,,,,,
,Niveau de confiance dans les personnes ou groupes suivants (% confiant):,"Vos parents, enfants, époux",%,89%,86%,85%,84%,93%,88%,84%,81%,83%,95%,85%,85%,86%,,,,,,,,,
,,Vos amis,%,46%,41%,38%,33%,42%,37%,60%,28%,30%,40%,36%,30%,38%,,,,,,,,,
,,Les gens de ce quartier/ village,%,56%,52%,43%,40%,43%,43%,65%,38%,38%,52%,47%,39%,46%,,,,,,,,,
,,Les gens de votre groupe ethnique,%,74%,67%,67%,66%,63%,63%,75%,52%,57%,71%,63%,55%,64%,,,,,,,,,
,,Les gens d'un autre groupe ethnique,%,53%,45%,43%,40%,36%,40%,60%,33%,36%,44%,41%,36%,42%,,,,,,,,,
,,Les gens de votre groupe religieux,%,79%,72%,69%,66%,81%,73%,85%,59%,62%,73%,67%,62%,69%,,,,,,,,,
,,Les gens d'une autre religion,%,52%,48%,48%,41%,42%,45%,50%,40%,34%,53%,47%,41%,44%,,,,,,,,,
,,"Les autorités administratives locales (chefs de village, mairies, etc…)",%,54%,51%,58%,55%,57%,50%,58%,46%,47%,48%,51%,45%,51%,,,,,,,,,
,,"Les autorités adminsitratives prefectorales/ Bangui (prefets, sous-prefets)",%,55%,49%,52%,49%,45%,41%,55%,42%,39%,51%,45%,37%,46%,,,,,,,,,
,,Les autorités adminsitratives nationales,%,55%,56%,61%,60%,52%,48%,50%,49%,45%,56%,50%,48%,51%,,,,,,,,,
,,Les ONGs nationales,%,70%,66%,67%,60%,71%,69%,67%,60%,55%,75%,62%,58%,64%,,,,,,,,,
,,Les ONGs internationales,%,65%,61%,58%,55%,65%,58%,67%,59%,53%,68%,56%,55%,60%,,,,,,,,,
,,Les Nations Unies,%,59%,51%,50%,42%,56%,50%,53%,45%,41%,50%,49%,47%,48%,,,,,,,,,
,,La radio de la MINUSCA,%,54%,54%,48%,42%,37%,40%,59%,44%,41%,43%,47%,50%,47%,,,,,,,,,
,,Les radios nationales centrafricaines,%,78%,75%,76%,82%,70%,68%,73%,71%,73%,74%,75%,78%,74%,,,,,,,,,
,Niveau de confort avec les personnes ou groupes suivants (% confortable):,Des personnes déplacées,%,98%,93%,89%,85%,99%,99%,94%,89%,90%,97%,93%,91%,92%,,,,,,,,,
,,Des musulmans,%,80%,70%,82%,82%,75%,84%,95%,75%,81%,71%,83%,87%,81%,,,,,,,,,
,,Des chrétiens,%,98%,98%,94%,94%,98%,100%,99%,96%,96%,99%,98%,98%,97%,,,,,,,,,
,,Des Tchadiens,%,67%,58%,73%,70%,62%,67%,85%,67%,71%,55%,67%,73%,69%,,,,,,,,,
,,Des anciens combatants des groupes armes,%,30%,32%,58%,50%,27%,27%,65%,48%,41%,18%,35%,45%,41%,,,,,,,,,
STÉRÉOTYPES ENVERS D'AUTRES GROUPES ET DISCRIMINATION,Discrimination (% oui),Traite injustement à cause de votre religion (% oui),%,4%,12%,13%,14%,6%,6%,21%,19%,23%,8%,9%,15%,15%,,,,,,,,,
,,Dans les 12 derniers mois,%,100%,26%,14%,16%,54%,38%,23%,9%,36%,47%,21%,24%,27%,,,,,,,,,
,,Traite injustement à cause de votre groupe ethnique (% oui),%,5%,13%,14%,15%,6%,5%,14%,19%,24%,4%,8%,13%,13%,,,,,,,,,
,,Dans les 12 derniers mois,%,25%,21%,16%,34%,36%,40%,30%,7%,43%,50%,17%,14%,28%,,,,,,,,,
,Religion (% répondants),Chrétien  - Protestant,%,61%,68%,80%,72%,65%,68%,35%,76%,76%,66%,70%,75%,67%,,,,,,,,,
,,Musulman,%,3%,0%,0%,1%,5%,4%,56%,1%,5%,0%,1%,0%,8%,,,,,,,,,
,,Animiste,%,0%,0%,0%,0%,1%,1%,1%,1%,0%,2%,2%,0%,1%,,,,,,,,,
,,Adventiste,%,5%,5%,0%,3%,7%,4%,2%,2%,4%,5%,3%,4%,3%,,,,,,,,,
,,Kimbanguiste,%,3%,2%,0%,1%,1%,4%,1%,0%,0%,3%,5%,0%,2%,,,,,,,,,
,,Témoin de Jéhovah,%,7%,3%,2%,5%,10%,7%,4%,5%,4%,7%,3%,3%,5%,,,,,,,,,
,,"Autre, spécifier",%,21%,21%,17%,17%,11%,12%,1%,15%,12%,17%,16%,17%,14%,,,,,,,,,
ENGAGEMENT CIVIQUE,Membre d'un groupe ou association,Oui,%,55%,63%,57%,68%,48%,49%,33%,67%,60%,49%,55%,69%,56%,,,,,,,,,
,Type de groupe ou association (% oui - réponses multiples),"Culturel, danse, théâtre",%,2%,1%,2%,6%,9%,5%,4%,3%,9%,5%,2%,5%,5%,,,,,,,,,
,,Groupe sportif/ equipe,%,12%,13%,16%,14%,14%,10%,1%,16%,13%,7%,15%,11%,12%,,,,,,,,,
,,Groupe agricole/ associations,%,4%,19%,20%,19%,6%,6%,4%,12%,22%,6%,13%,8%,13%,,,,,,,,,
,,Groupes d'epargnes,%,10%,9%,10%,13%,8%,11%,3%,9%,6%,10%,9%,11%,9%,,,,,,,,,
,,Groupes scolaires,%,5%,3%,5%,2%,7%,3%,3%,4%,4%,4%,2%,1%,3%,,,,,,,,,
,,Organisation politique,%,2%,3%,5%,5%,8%,5%,1%,8%,4%,3%,6%,8%,5%,,,,,,,,,
,,Groupes religieux,%,68%,76%,74%,69%,71%,65%,45%,73%,58%,67%,76%,69%,67%,,,,,,,,,
,,ONG,%,10%,1%,1%,6%,10%,7%,7%,3%,7%,5%,3%,3%,5%,,,,,,,,,
,,Groupes de defense des droits de l'homme,%,2%,1%,2%,1%,4%,0%,0%,2%,1%,2%,1%,1%,1%,,,,,,,,,
,,Syndicats,%,0%,1%,1%,1%,1%,0%,3%,0%,1%,1%,2%,3%,1%,,,,,,,,,
,,Groupe de gestion de l'eau,%,0%,1%,2%,1%,2%,0%,0%,2%,2%,0%,0%,1%,1%,,,,,,,,,
,,Groupes de jeunes,%,12%,9%,8%,7%,10%,7%,10%,11%,7%,10%,10%,8%,9%,,,,,,,,,
,,Groupes de femmes,%,24%,10%,13%,16%,25%,16%,22%,15%,13%,18%,16%,16%,16%,,,,,,,,,
,,Groupe de la paix,%,4%,2%,6%,6%,10%,12%,5%,2%,15%,4%,3%,6%,7%,,,,,,,,,
,,Groupe d'auto-defense,%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,1%,0%,0%,,,,,,,,,
,,Groupe de sante,%,2%,1%,4%,1%,3%,1%,0%,1%,1%,0%,1%,1%,1%,,,,,,,,,
,,Groupe ethnique,%,13%,9%,9%,7%,10%,7%,7%,5%,3%,8%,11%,5%,7%,,,,,,,,,
,,Comite de reconciliation,%,5%,1%,2%,5%,6%,9%,3%,1%,5%,6%,1%,2%,4%,,,,,,,,,
,,Autre,%,6%,6%,7%,9%,1%,5%,5%,10%,6%,4%,7%,5%,6%,,,,,,,,,
,Acceptable d'utiliser la violence dans les situations suivantes (% oui):,Protéger la communauté,%,15%,10%,9%,7%,16%,13%,13%,13%,16%,14%,13%,15%,13%,,,,,,,,,
,,Rétablir la sécurité,%,21%,16%,30%,21%,21%,19%,9%,24%,26%,20%,21%,28%,21%,,,,,,,,,
,,Résoudre les conflits,%,20%,13%,28%,18%,16%,15%,6%,20%,22%,17%,18%,22%,18%,,,,,,,,,
,,Promouvoir un politicien,%,4%,8%,23%,18%,6%,1%,7%,18%,19%,1%,11%,19%,12%,,,,,,,,,
PERCEPTIONS DES SERVICES/ PERFORMANCES/ REPRÉSENTATION,Perception des services (% bon et très bon),Logement,%,68%,45%,56%,53%,91%,69%,48%,39%,44%,69%,50%,44%,52%,,,,,,,,,
,,Accès à l'eau potable,%,21%,14%,29%,26%,70%,44%,26%,22%,23%,29%,49%,10%,26%,,,,,,,,,
,,Accès à la nourriture,%,57%,41%,43%,44%,83%,56%,35%,31%,32%,57%,51%,30%,42%,,,,,,,,,
,,Accès aux soins de santé,%,60%,36%,39%,41%,72%,62%,32%,39%,36%,62%,52%,42%,45%,,,,,,,,,
,,Accès aux services d'éducation (pour vous ou vos enfants),%,75%,51%,46%,47%,80%,70%,40%,48%,50%,71%,64%,50%,55%,,,,,,,,,
,,Possibilités de trouver un emploi / du travail,%,29%,24%,25%,21%,42%,27%,11%,20%,26%,22%,25%,22%,23%,,,,,,,,,
,,Accès à l'information / aux nouvelles,%,56%,47%,47%,45%,66%,57%,22%,41%,44%,64%,55%,45%,46%,,,,,,,,,
,,Qualite des services administratifs de l'Etat,%,57%,50%,60%,58%,61%,50%,34%,49%,41%,58%,59%,50%,49%,,,,,,,,,
,Perception des efforts de l'État (% positif),Pour réduire la pauvreté,%,48%,50%,50%,53%,65%,58%,66%,50%,55%,61%,56%,48%,55%,,,,,,,,,
,,"Pour améliorer l'emploi, la situation économique",%,43%,50%,53%,46%,62%,54%,63%,45%,40%,57%,52%,50%,50%,,,,,,,,,
,,Pour établir la paix,%,75%,68%,66%,55%,79%,81%,75%,61%,57%,81%,70%,59%,67%,,,,,,,,,
,,Pour établir la sécurité,%,69%,63%,57%,45%,76%,76%,73%,53%,55%,80%,67%,57%,63%,,,,,,,,,
,,Pour lutter contre la corruption,%,23%,29%,29%,24%,44%,37%,45%,24%,26%,34%,30%,25%,30%,,,,,,,,,
,,Pour lutter contre l'impunité,%,55%,59%,59%,56%,73%,70%,66%,54%,48%,71%,65%,52%,59%,,,,,,,,,
,,Pour unir les différents groupes ethniques et religieux,%,78%,74%,69%,60%,84%,81%,77%,64%,63%,82%,75%,65%,71%,,,,,,,,,
,Perception des efforts des acteurs suivants pour améliorer la vie des centrafricains (% bon et très bon),ONG internationales,%,85%,75%,80%,70%,90%,85%,81%,69%,68%,86%,80%,69%,76%,,,,,,,,,
,,ONG nationales,%,90%,82%,76%,74%,94%,93%,81%,67%,66%,91%,78%,70%,78%,,,,,,,,,
,,Nations Unies,%,73%,68%,65%,57%,83%,77%,75%,52%,56%,78%,65%,59%,65%,,,,,,,,,
,,État,%,78%,76%,79%,70%,75%,78%,67%,66%,63%,76%,83%,63%,71%,,,,,,,,,
,Perception de la représentation de la population par les acteurs suivants (% bien et très bien),Les autorités d'administration locales (Chefs de quartier ou de village),%,71%,72%,82%,77%,80%,76%,56%,73%,64%,76%,80%,67%,71%,,,,,,,,,
,,Les autorités administratives au niveau de la préfecture,%,64%,64%,61%,60%,63%,72%,51%,52%,45%,70%,66%,54%,58%,,,,,,,,,
,,Le gouvernment central / national,%,63%,66%,74%,70%,66%,72%,68%,62%,56%,70%,75%,60%,66%,,,,,,,,,
,Perception du travail des autorités administratives (% professionnel),Les autorités d'administration locales (Chefs de quartier ou de village),%,75%,75%,87%,90%,75%,77%,80%,87%,76%,74%,82%,85%,80%,,,,,,,,,
,,Le gouvernment central / national,%,60%,72%,82%,80%,60%,64%,76%,76%,72%,66%,76%,79%,73%,,,,,,,,,
,Perception du travail des autorités administratives (% qui disent qu'ils sont corrompus),Les autorités d'administration locales (Chefs de quartier ou de village),%,35%,39%,22%,21%,37%,31%,17%,28%,33%,38%,27%,33%,30%,,,,,,,,,
,,Le gouvernment central / national,%,48%,37%,22%,26%,47%,50%,28%,34%,29%,44%,38%,25%,34%,,,,,,,,,
SANTE,Porter un jerrycan d'eau de 20 litres sur une distance de 20 mètres (% répondantsi),Facilement,%,61%,58%,70%,68%,54%,54%,54%,74%,59%,64%,68%,71%,63%,,,,,,,,,
,,Avec un peu de difficultes,%,14%,17%,17%,16%,14%,15%,10%,14%,21%,15%,11%,16%,16%,,,,,,,,,
,,Avec beaucoup de difficultes,%,19%,17%,7%,8%,22%,25%,28%,7%,10%,16%,16%,7%,15%,,,,,,,,,
,,Pas du tout,%,6%,8%,6%,7%,9%,6%,8%,5%,9%,5%,4%,5%,7%,,,,,,,,,
,Perception de l'état de santé (% répondants),Très mauvaise,%,1%,3%,4%,4%,1%,2%,1%,2%,1%,0%,2%,3%,2%,,,,,,,,,
,,Mauvais,%,10%,13%,14%,15%,12%,12%,9%,15%,22%,10%,14%,14%,14%,,,,,,,,,
,,Moyen,%,10%,19%,12%,20%,14%,12%,30%,21%,20%,12%,13%,24%,19%,,,,,,,,,
,,Bon,%,61%,50%,58%,56%,55%,58%,49%,51%,49%,63%,57%,45%,53%,,,,,,,,,
,,Très bon,%,17%,15%,12%,6%,19%,16%,10%,10%,8%,16%,13%,14%,12%,,,,,,,,,
,"Dans le DERNIER MOIS, des problèmes émotionnels ont limité los activités sociales habituelles avec les amis ou la famille (% répondants)",Jamais,%,64%,62%,47%,59%,56%,58%,78%,52%,46%,62%,59%,53%,58%,,,,,,,,,
,,Une fois de temps en temps,%,30%,31%,43%,31%,36%,38%,11%,32%,34%,32%,32%,34%,31%,,,,,,,,,
,,Deux à quatre fois par semaine,%,6%,6%,9%,8%,8%,3%,8%,14%,15%,4%,8%,12%,9%,,,,,,,,,
,,Cinq fois par semaine,%,0%,0%,1%,2%,0%,1%,0%,2%,5%,2%,1%,1%,2%,,,,,,,,,
,"Dans le DERNIER MOIS, problèmes émotionnels ont limité les activités quotidiennes habituelles comme faire son travail (% répondants)",Jamais,%,74%,71%,55%,59%,58%,63%,79%,53%,50%,73%,61%,57%,62%,,,,,,,,,
,,Une fois de temps en temps,%,23%,24%,31%,34%,33%,31%,12%,38%,32%,23%,27%,30%,28%,,,,,,,,,
,,Deux à quatre fois par semaine,%,2%,5%,12%,6%,6%,4%,6%,8%,16%,4%,9%,10%,8%,,,,,,,,,
