Catégories,Variables,Réponses,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Bamingui Bangoran,Vakaga,Bangui,Unit,Source,Source Link
,,En formation,9%,1%,5%,3%,1%,1%,1%,3%,0%,5%,4%,15%,%,,
,,Femme au foyer,11%,2%,22%,2%,1%,29%,0%,2%,0%,13%,24%,17%,%,,
,,Pas de profession/jamais travaillé,9%,0%,1%,1%,0%,1%,0%,1%,1%,1%,1%,6%,%,,
,,"Autre, spécifier",9%,2%,2%,5%,1%,2%,0%,1%,0%,14%,5%,5%,%,,
,,ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Biens (% possédant le bien),Table,83%,62%,63%,52%,57%,53%,43%,68%,53%,50%,56%,77%,%,,
,,Chaises,67%,54%,74%,75%,45%,66%,34%,70%,50%,60%,61%,65%,%,,
,,Lit,81%,59%,54%,70%,51%,41%,18%,19%,37%,42%,67%,84%,%,,
,,Radio fonctionnelle,67%,36%,35%,71%,44%,35%,37%,26%,23%,38%,44%,73%,%,,
,,Lecteur de CD,18%,1%,7%,1%,6%,1%,1%,1%,2%,2%,4%,35%,%,,
,,Télévision,22%,2%,8%,3%,6%,3%,1%,1%,0%,2%,3%,43%,%,,
,,Vélo,20%,19%,7%,22%,20%,18%,23%,16%,25%,34%,49%,18%,%,,
,,Autre véhicule,10%,1%,13%,11%,10%,12%,7%,2%,0%,6%,6%,14%,%,,
,,Téléphone portable,66%,30%,26%,26%,19%,29%,14%,15%,13%,37%,45%,85%,%,,
,,Accès à l’électricité,35%,0%,10%,2%,3%,1%,0%,1%,2%,16%,2%,66%,%,,
,Revenu moyen mensuel du ménage (FCFA),Aucun (0),7%,2%,0%,0%,1%,5%,13%,4%,30%,2%,2%,1%,%,,
,,< 10 000 / mois,4%,31%,61%,11%,13%,23%,30%,45%,54%,35%,7%,3%,%,,
,,10 001 - 20 000 / mois,9%,30%,19%,29%,28%,26%,28%,9%,12%,10%,18%,8%,%,,
,,20 001 - 30 000 / mois,13%,21%,8%,30%,24%,16%,16%,8%,2%,8%,26%,14%,%,,
,,30 001 - 40 000 / mois,21%,12%,8%,18%,24%,12%,9%,15%,2%,11%,18%,20%,%,,
,,40 001 - 100 000 / mois,34%,4%,4%,10%,10%,10%,1%,13%,0%,26%,25%,39%,%,,
,,100 001 - 200 000 / mois,9%,0%,0%,2%,0%,5%,0%,3%,0%,7%,5%,12%,%,,
,,200 001 - 400 000 / mois,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,2%,%,,
,,>400 000 / mois,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,ne sait pas,2%,0%,0%,1%,0%,1%,0%,2%,0%,0%,0%,0%,%,,
COHÉSION SOCIALE,Relations avec les personnes ou groupes suivants (% relations positives),"Vos parents, enfants, époux(se)",85%,94%,97%,97%,93%,94%,82%,90%,90%,82%,85%,84%,%,,
,,Vos voisins,72%,88%,95%,91%,67%,79%,79%,76%,87%,70%,75%,70%,%,,
,,Personnes de votre quartier/ village,73%,79%,96%,81%,72%,76%,77%,78%,89%,69%,66%,66%,%,,
,,Les membres de votre groupe ethnique,79%,94%,97%,85%,82%,84%,80%,88%,86%,74%,62%,80%,%,,
,,Les membres d'autres groupes ethniques,51%,84%,88%,70%,67%,63%,67%,74%,74%,66%,52%,53%,%,,
,,Les membres de votre religion,76%,96%,97%,86%,83%,83%,83%,97%,88%,73%,74%,80%,%,,
,,Les membres d'autres religions (chrétiens et musulmans),47%,62%,89%,68%,62%,59%,61%,83%,75%,66%,48%,48%,%,,
,Support par quelqu'un qui n'est pas un membre de la famille pour faire les actions suivantes avec vous (% oui):,Veiller sur vos biens pendant votre absence,76%,69%,91%,71%,81%,72%,56%,78%,24%,76%,75%,72%,%,,
,,Partager leurs opinions sur les conflits avec vous,84%,90%,87%,93%,92%,97%,79%,86%,39%,70%,56%,78%,%,,
,,Vous aider à faire votre travail,74%,45%,73%,76%,43%,56%,17%,51%,23%,45%,56%,69%,%,,
,,Partager avec vous des informations sur l'actualité,87%,58%,94%,95%,88%,83%,68%,82%,31%,72%,30%,79%,%,,
,,Vous aider si vous avez besoin d'argent (comme un prêt/ crédit),49%,33%,37%,47%,22%,22%,6%,22%,8%,25%,14%,50%,%,,
,,Vous aider à résoudre des conflits,75%,89%,82%,63%,81%,45%,51%,62%,13%,79%,39%,71%,%,,
,,Vous aider si vous étiez malade,78%,64%,74%,45%,42%,44%,28%,42%,23%,56%,82%,74%,%,,
,,"Quelqu'un qui fait des blagues, qui rit avec vous",78%,99%,93%,59%,94%,55%,69%,69%,27%,80%,58%,76%,%,,
,Support par les personnes ou groupes suivants pour vous aider en cas de besoin (% support positif):,Des voisins,52%,75%,78%,89%,46%,61%,29%,39%,75%,31%,66%,45%,%,,
,,Un membre de votre groupe ethnique,60%,76%,81%,84%,59%,61%,49%,51%,80%,46%,54%,55%,%,,
,,Quelqu'un d'un autre groupe ethnique,29%,56%,58%,65%,30%,44%,15%,40%,63%,23%,25%,28%,%,,
,,Quelqu'un de votre religion,58%,79%,78%,83%,65%,70%,58%,73%,82%,44%,50%,60%,%,,
,,Quelqu'un d'une autre religion que la vôtre (chrétien ou musulman),25%,40%,51%,61%,40%,48%,15%,45%,67%,22%,21%,24%,%,,
,Niveau de confiance dans les personnes ou groupes suivants (% confiant):,"Vos parents, enfants, époux",77%,97%,97%,98%,92%,88%,75%,90%,99%,83%,75%,81%,%,,
,,Vos amis,27%,76%,69%,74%,51%,46%,34%,36%,66%,24%,37%,20%,%,,
,,Les gens de ce quartier/ village,38%,72%,84%,76%,54%,66%,50%,45%,95%,30%,20%,30%,%,,
,,Les gens de votre groupe ethnique,55%,87%,91%,82%,71%,72%,69%,65%,99%,52%,50%,53%,%,,
,,Les gens d'un autre groupe ethnique,26%,67%,72%,63%,43%,54%,30%,45%,81%,23%,22%,24%,%,,
,,Les gens de votre religion,55%,90%,92%,87%,81%,75%,68%,91%,95%,52%,55%,59%,%,,
,,Les gens d'une autre religion,27%,75%,73%,63%,56%,54%,34%,57%,77%,27%,25%,24%,%,,
,,Les autorités du quartier/ village,41%,88%,88%,80%,70%,68%,45%,55%,97%,36%,18%,34%,%,,
,,Les autorités de la ville/ commune,36%,68%,84%,75%,25%,62%,31%,53%,96%,33%,10%,27%,%,,
,,Les autorités locales,35%,67%,86%,74%,44%,58%,60%,56%,97%,31%,16%,29%,%,,
,,Les autorités nationales,36%,62%,81%,76%,36%,63%,55%,58%,98%,25%,12%,32%,%,,
,,Les chefs religieux de votre religion,61%,98%,92%,90%,84%,71%,69%,88%,99%,56%,54%,65%,%,,
,,Les chefs religieux des autres religions,32%,74%,73%,66%,57%,54%,42%,64%,83%,33%,28%,30%,%,,
,,Les ONGs nationales,44%,68%,87%,79%,35%,77%,57%,68%,96%,61%,17%,42%,%,,
,,Les ONGs internationales,44%,68%,89%,80%,18%,76%,45%,69%,91%,63%,10%,43%,%,,
,,Les Nations Unies,21%,40%,83%,65%,19%,65%,54%,69%,93%,54%,11%,21%,%,,
,,La police,54%,84%,77%,82%,29%,66%,53%,72%,97%,53%,8%,55%,%,,
,,La gendarmerie,59%,87%,87%,83%,42%,67%,60%,78%,97%,52%,8%,57%,%,,
,,Les FACA,70%,90%,85%,86%,29%,66%,72%,86%,96%,54%,5%,68%,%,,
,,Les juges / la justice,48%,65%,87%,63%,49%,70%,68%,63%,99%,50%,31%,47%,%,,
,,La MINUSCA,15%,39%,71%,56%,10%,47%,59%,58%,65%,45%,40%,16%,%,,
,,Les groupes armés,2%,0%,7%,1%,0%,2%,18%,4%,4%,5%,58%,1%,%,,
,,Les chefs traditionnels,44%,84%,86%,82%,81%,67%,62%,79%,99%,52%,69%,31%,%,,
,,Les médias en général,47%,70%,85%,67%,62%,62%,47%,69%,100%,40%,4%,48%,%,,
,Niveau de confort avec les personnes ou groupes suivants (% confortable):,Des personnes déplacées,93%,100%,99%,100%,98%,99%,51%,98%,10%,96%,97%,91%,%,,
,,Des soldats / militaires,80%,88%,97%,98%,75%,86%,41%,91%,74%,70%,85%,87%,%,,
,,Des musulmans,32%,40%,80%,72%,12%,36%,62%,37%,26%,66%,99%,47%,%,,
,,Des chrétiens,95%,100%,99%,98%,93%,100%,56%,96%,95%,97%,98%,95%,%,,
,,Des Tchadiens,20%,32%,59%,23%,2%,37%,59%,37%,13%,45%,91%,34%,%,,
STÉRÉOTYPES ENVERS D'AUTRES GROUPES ET DISCRIMINATION,"Sentiment par rapport aux personnes d'une autre religion, ils sont… (% souvent et tout le temps):",Ils sont violents,45%,5%,14%,69%,4%,21%,30%,4%,68%,9%,4%,40%,%,,
,,Ils sont paresseux,20%,4%,5%,22%,2%,14%,16%,5%,41%,10%,4%,20%,%,,
,,Ils cherchent à créer des conflits,51%,6%,19%,74%,10%,39%,33%,8%,78%,13%,5%,44%,%,,
,,Ils prennent nos terres,29%,2%,11%,30%,7%,19%,12%,3%,41%,10%,0%,24%,%,,
,"Sentiment par rapport aux personnes d'un autre groupe ethnique, ils sont...(% souvent et tout le temps):",Ils sont violents,43%,4%,2%,55%,5%,14%,32%,11%,80%,20%,10%,38%,%,,
,,Ils sont paresseux,23%,3%,0%,22%,1%,13%,17%,9%,45%,17%,10%,20%,%,,
,,Ils cherchent à créer des conflits,49%,4%,7%,65%,11%,25%,33%,15%,80%,24%,10%,41%,%,,
,,Ils prennent nos terres,28%,1%,3%,28%,6%,11%,6%,1%,41%,11%,0%,22%,%,,
,Discrimination (% oui),Avez-vous déjà été traité injustement à cause de votre religion (% oui)?,11%,0%,9%,11%,3%,4%,25%,5%,62%,20%,1%,16%,%,,
,,Dans les 12 derniers mois (% oui),26%,100%,54%,26%,83%,56%,83%,91%,96%,55%,67%,49%,%,,
,,Avez-vous déjà été traité injustement à cause de votre groupe ethnique ?,9%,3%,8%,10%,4%,8%,24%,10%,66%,11%,1%,11%,%,,
,,Dans les 12 derniers mois (% oui),34%,83%,89%,30%,100%,65%,92%,100%,91%,97%,67%,52%,%,,
,Religion,Chrétien - Protestant,69%,92%,88%,94%,98%,86%,98%,63%,60%,45%,19%,66%,%,,
,,Musulman,0%,0%,4%,5%,2%,1%,1%,2%,0%,33%,81%,11%,%,,
,,Animiste,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,%,,
,,Adventiste,2%,3%,2%,0%,0%,0%,0%,1%,0%,0%,0%,2%,%,,
,,Kimbanguiste,0%,2%,1%,0%,0%,0%,0%,0%,0%,4%,0%,1%,%,,
,,Témoin de Jéhovah,3%,0%,1%,0%,0%,1%,0%,2%,0%,0%,0%,3%,%,,
,,"Autre, spécifier",25%,3%,5%,0%,0%,11%,1%,32%,40%,17%,0%,16%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,%,,
ENGAGEMENT CIVIQUE,Membre d'une association ou groupe,Oui,42%,49%,50%,78%,74%,59%,78%,73%,82%,75%,70%,42%,%,,
,"Au cours de la dernière année, avez-vous participé aux choses suivantes (% oui):",À une réunion communautaire,44%,75%,80%,89%,88%,86%,80%,91%,81%,82%,79%,47%,%,,
,,"À des rencontres culturelles, récréationelles ou sportives",39%,77%,43%,44%,80%,72%,71%,69%,84%,58%,75%,44%,%,,
,,"À des rencontres communautaires ayant pour objectif l'amélioration de la sécurité dans les rues, les parcs ou votre village",37%,65%,46%,64%,81%,76%,81%,83%,87%,63%,72%,43%,%,,
,,À des rencontres organisées par les parties ou groupes politiques,21%,51%,26%,37%,62%,34%,35%,35%,59%,22%,13%,19%,%,,
,,À des rencontres ayant pour objectif de construire des infrastructures publiques ou d'améliorer les espaces publics,31%,60%,42%,51%,75%,84%,74%,78%,83%,64%,64%,32%,%,,
,,À des rencontres ayant pour objectif de construire la paix,44%,66%,64%,74%,87%,76%,78%,85%,84%,66%,79%,51%,%,,
,Les hommes et les femmes participent à la vie communautaire de façon égale dans ce village/ quartier,Oui,60%,84%,83%,87%,88%,86%,91%,91%,94%,92%,83%,68%,%,,
,Les gens ont ou peuvent…. (% beaucoup et extrèmement),la capacité d’apporter un changement dans leur quartier,56%,78%,75%,74%,54%,76%,52%,64%,67%,42%,62%,55%,%,,
,,la possibilité de participer aux décisions qui concernent le quartier,46%,76%,69%,71%,57%,59%,52%,63%,68%,34%,41%,45%,%,,
,,contribuer à la paix dans leur communauté,60%,89%,86%,80%,86%,65%,72%,78%,87%,57%,57%,63%,%,,
,,contribuer à la réconciliation dans leur communauté,56%,87%,87%,78%,92%,71%,65%,77%,88%,57%,49%,61%,%,,
,Sentiment de contrôle sur les choses suivantes (% beaucoup et extrèmement),Les décisions prises par les autorités administratives dans le village/le quartier,33%,49%,63%,71%,32%,51%,50%,71%,53%,25%,44%,24%,%,,
,,Les décisions prises par les autorités administratives au niveau de la préfecture,23%,35%,35%,55%,4%,46%,43%,60%,51%,16%,10%,14%,%,,
,,Les décisions prises par les autorités administratives au niveau national,24%,34%,20%,35%,1%,52%,47%,60%,48%,12%,5%,19%,%,,
,Les hommes et les femmes ont le même niveau d'influence sur les décisions prises par les autorités au niveau du village/ du quartier,Oui,80%,75%,69%,82%,87%,95%,83%,70%,78%,88%,70%,75%,%,,
,Tous les groupes religieux ont le même niveau d'influence sur les décisions prises par les autorités du village/ du quartier,Oui,73%,89%,72%,79%,91%,84%,86%,76%,81%,89%,88%,69%,%,,
,Capacité à s'exprimer (% perception positive),Libre d’exprimer vos préoccupations à la maison,74%,89%,92%,97%,75%,51%,55%,84%,67%,71%,74%,67%,%,,
,,Libre d’exprimer vos préoccupations dans votre quartier,46%,74%,77%,78%,42%,35%,41%,56%,62%,51%,33%,36%,%,,
,,"Il est inutile de parler, vous ne pouvez pas être entendu, personne ne vous écoute",28%,41%,26%,32%,28%,23%,11%,39%,45%,14%,2%,26%,%,,
GENRE,Croyances vis-à vis les hommes et femmes (% d'accord),Les femmes comme les hommes peuvent etre chefs de village,95%,97%,97%,97%,91%,96%,58%,95%,85%,94%,63%,95%,%,,
,,Les êtres humains ont évolué pour que les hommes représentent l'autorité dans la famille,56%,31%,82%,64%,69%,67%,76%,55%,30%,16%,72%,55%,%,,
,,Les hommes sont naturellement de meilleur chefs religieux que les femmes,43%,36%,49%,55%,25%,37%,68%,52%,36%,20%,78%,40%,%,,
,,Les hommes ont besoin de plus de partenaires sexuels que les femmes,48%,43%,64%,85%,74%,93%,88%,72%,82%,75%,92%,40%,%,,
,,Les femmes sont meilleures que les hommes pour s'occuper des enfants,69%,76%,75%,90%,92%,95%,90%,91%,87%,69%,85%,71%,%,,
,,Les hommes sont meilleurs que les femmes pour travailler hors de la maison,28%,48%,29%,32%,56%,38%,75%,41%,59%,14%,75%,27%,%,,
,,Les hommes sont plus aptes que les femmes à avoir une éducation supérieure,19%,32%,17%,32%,40%,16%,50%,17%,19%,10%,67%,19%,%,,
,,Les hommes sont naturellement meilleurs que les femmes pour gouverner le pays,46%,40%,38%,40%,36%,56%,69%,38%,50%,15%,86%,36%,%,,
,,Les hommes sont plus rationnels que les femmes,28%,13%,39%,40%,22%,30%,57%,47%,40%,10%,63%,21%,%,,
,,Les femmes sont moins intelligentes que les hommes,26%,10%,18%,8%,29%,42%,64%,16%,54%,10%,42%,23%,%,,
,,Les hommes sont mieux que les femmes pour prendre des décisions concernant l'argent,30%,17%,31%,14%,34%,52%,64%,45%,45%,14%,68%,26%,%,,
,,Les femmes sont mieux que les hommes pour prendre des décisions concernant les enfants,46%,58%,22%,55%,52%,63%,49%,44%,47%,43%,84%,47%,%,,
,,Les femmes comme les hommes contribuent à la paix et réconciliation dans votre quartier/ village,95%,98%,98%,99%,99%,97%,96%,98%,100%,81%,98%,96%,%,,
PERCEPTIONS DES SERVICES/ PERFORMANCES/ REPRÉSENTATION,Perception des services (% bon et très bon),Logement,48%,15%,21%,52%,19%,30%,41%,48%,41%,20%,22%,48%,%,,
,,Accès à l'eau potable,40%,48%,28%,51%,16%,52%,47%,20%,44%,16%,6%,39%,%,,
,,Accès à la nourriture,32%,6%,19%,48%,4%,10%,29%,22%,27%,8%,34%,40%,%,,
,,Accès aux soins de santé,27%,1%,16%,22%,4%,23%,14%,13%,28%,19%,4%,39%,%,,
,,Accès aux services d'éducation (pour vous ou vos enfants),44%,6%,31%,28%,11%,58%,55%,26%,66%,36%,4%,47%,%,,
,,Possibilités de trouver un emploi / du travail,17%,0%,9%,1%,1%,12%,7%,26%,25%,2%,1%,15%,%,,
,,Accès à l'information / aux nouvelles,43%,12%,40%,50%,19%,52%,42%,17%,44%,29%,2%,49%,%,,
,Les hommes et les femmes ont accès aux services de bases (santé ou éducation) de façon égale dans ce village/ quartier,Oui,62%,82%,73%,86%,62%,92%,89%,88%,84%,97%,74%,76%,%,,
,Perception des efforts de l'Etat (% positif),Pour réduire la pauvreté,28%,8%,63%,15%,60%,40%,77%,24%,61%,27%,54%,24%,%,,
,,"Pour améliorer l'emploi, la situation économique",27%,2%,48%,7%,63%,38%,62%,19%,89%,25%,51%,23%,%,,
,,Pour établir la paix,27%,14%,87%,39%,70%,38%,78%,46%,90%,46%,61%,34%,%,,
,,Pour établir la sécurité,25%,19%,75%,30%,69%,40%,81%,42%,90%,45%,61%,31%,%,,
,,Pour lutter contre la corruption,23%,0%,64%,3%,48%,27%,75%,14%,64%,27%,88%,13%,%,,
,,Pour unir les différents groupes ethniques et religieux,43%,4%,92%,37%,81%,49%,81%,53%,77%,48%,60%,42%,%,,
,Perception des efforts des acteurs suivants pour améliorer la vie des centrafricains (% bon et très bon),ONG internationales,62%,50%,95%,57%,57%,88%,85%,69%,93%,67%,54%,63%,%,,
,,ONG nationales,61%,53%,95%,51%,61%,87%,87%,70%,95%,72%,55%,64%,%,,
,,Nations Unies,31%,18%,93%,51%,53%,68%,83%,71%,91%,65%,52%,34%,%,,
,,Etat,36%,19%,86%,31%,70%,53%,81%,53%,91%,43%,52%,36%,%,,
,Sentiment de représentation par les acteurs suivants (% bien et très bien),Les autorités d'administration locales (Chefs de quartier ou de village),75%,87%,89%,86%,85%,87%,95%,89%,79%,63%,79%,64%,%,,
,,Les autorités administratives au niveau de la préfecture,66%,63%,78%,78%,35%,77%,90%,84%,77%,59%,46%,55%,%,,
,,Le gouvernment central / national,61%,56%,58%,64%,38%,55%,94%,82%,76%,54%,47%,57%,%,,
,Les autorités représentent les intérêts des hommes et des femmes de façon égale (% oui),Traitent de façon égale,86%,98%,94%,94%,90%,82%,95%,93%,89%,73%,63%,86%,%,,
,,Hommes privilégiés,9%,1%,4%,5%,10%,18%,3%,5%,8%,11%,36%,7%,%,,
,,Femmes privilégiées,5%,1%,2%,1%,0%,0%,1%,2%,2%,15%,1%,7%,%,,
,Les autorités (en général) représentent les intérêts de tous les groupes ethniques de façon égale (% oui),Traitent de façon égale,69%,89%,69%,94%,85%,65%,87%,89%,88%,61%,78%,68%,%,,
,,Certains groupes sont privilégiés,31%,11%,31%,6%,15%,35%,13%,11%,12%,39%,22%,31%,%,,
,Les autorités (en général) représentent les intérêts de tous les groupes religieux de façon égale (% oui),Traitent de façon égale,76%,89%,88%,95%,95%,64%,92%,92%,88%,69%,85%,73%,%,,
,,Certains groupes sont privilégiés,24%,11%,12%,5%,5%,35%,8%,8%,12%,31%,15%,27%,%,,
CONFLITS ET DISPUTES,Principaux types de conflits et disputes dans le quartier / village (% répondants) (plusieurs réponses),Aucun conflits,13%,5%,9%,9%,1%,12%,2%,6%,14%,6%,19%,13%,%,,
,,"Questions d'autorités, de pouvoir",4%,3%,2%,3%,11%,4%,1%,8%,1%,15%,7%,7%,%,,
,,"Disputes domestiques, différends familiaux",42%,79%,64%,66%,43%,27%,49%,13%,38%,32%,37%,37%,%,,
,,Conflits sur les limites des terres,15%,11%,8%,2%,8%,3%,9%,19%,16%,22%,6%,16%,%,,
,,Conflits sur la propriété des terres,9%,13%,4%,4%,1%,1%,8%,16%,6%,3%,18%,11%,%,,
,,"Conflits sur l'argent, paiements",14%,36%,18%,27%,2%,6%,13%,36%,40%,12%,14%,16%,%,,
,,Vols,33%,61%,47%,29%,34%,34%,36%,70%,69%,54%,12%,41%,%,,
,,Conflits ethniques,5%,0%,3%,1%,7%,6%,15%,22%,0%,6%,2%,5%,%,,
,,Conflits religieux,2%,0%,1%,0%,1%,0%,7%,6%,0%,1%,1%,3%,%,,
,,Violences physiques ou sexuelles,3%,1%,4%,16%,0%,3%,9%,7%,2%,11%,6%,11%,%,,
,,"Sorcellerie, charlatanisme",16%,69%,26%,36%,88%,36%,29%,63%,54%,52%,18%,15%,%,,
,,Violence domestique,5%,5%,20%,27%,1%,31%,5%,15%,3%,39%,23%,9%,%,,
,,"Différends dans la communauté (entre voisins, femmes…)",31%,41%,23%,36%,0%,29%,25%,42%,5%,36%,67%,28%,%,,
,,"Jalousie, haine, calomnie",26%,23%,12%,47%,83%,35%,40%,43%,66%,59%,32%,28%,%,,
,,"Autre, spécifier",23%,12%,2%,0%,6%,11%,17%,3%,0%,15%,1%,10%,%,,
,,[Sans réponse],0%,0%,0%,0%,1%,4%,0%,0%,0%,0%,0%,0%,%,,
,Présence de dispute/ différend dans les 12 derniers mois,oui,18%,19%,22%,22%,11%,22%,36%,24%,30%,38%,3%,21%,%,,
,Types de différends/ disputes (% répondants) (plusieurs réponses),"Questions d'autorités, de pouvoir",2%,2%,7%,3%,0%,2%,1%,0%,0%,3%,0%,6%,%,,
,,Disputes domestiques,48%,86%,44%,42%,57%,63%,81%,37%,98%,47%,29%,51%,%,,
,,Conflits sur les limites des terres,16%,0%,10%,2%,9%,8%,6%,15%,6%,13%,0%,17%,%,,
,,Conflits sur la propriété des terres,6%,2%,7%,3%,0%,2%,4%,4%,2%,4%,14%,14%,%,,
,,"Conflits sur l'argent, paiements",28%,14%,25%,24%,22%,21%,12%,35%,66%,22%,14%,28%,%,,
,,Conflits ethniques,7%,0%,2%,4%,35%,21%,15%,4%,8%,2%,14%,6%,%,,
,,"Sorcellerie, charlatanisme",15%,2%,11%,29%,52%,21%,19%,17%,5%,23%,29%,10%,%,,
,,"Autre, spécifier",10%,0%,3%,14%,9%,4%,4%,20%,0%,22%,0%,10%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,%,,
,Personnes approchées pour aider à résoudre ces différends/ disputes (% répondants) (plusieurs réponses),"Non, personne",10%,2%,2%,11%,0%,23%,21%,7%,59%,15%,29%,20%,%,,
,,"Sans aide extérieure, avec autre partie",11%,14%,0%,6%,0%,19%,19%,16%,0%,22%,0%,15%,%,,
,,"Population elle-même, familles",26%,31%,3%,21%,30%,13%,63%,22%,19%,29%,29%,31%,%,,
,,Autorités villageoises,19%,31%,11%,29%,17%,42%,8%,26%,27%,36%,29%,6%,%,,
,,Chef coutumier,20%,24%,46%,29%,57%,19%,56%,42%,17%,13%,29%,20%,%,,
,,Police,10%,0%,7%,2%,0%,0%,3%,2%,0%,0%,0%,15%,%,,
,,Chefs religieux,2%,7%,5%,14%,22%,2%,33%,6%,22%,10%,0%,3%,%,,
,,Militaires,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Groupes armés,0%,0%,0%,0%,0%,0%,0%,3%,0%,8%,14%,4%,%,,
,,Système judiciaire national,6%,0%,2%,2%,0%,2%,0%,3%,0%,0%,0%,8%,%,,
,,ONGs,0%,0%,0%,0%,0%,2%,3%,0%,8%,0%,0%,1%,%,,
,,Mairie,9%,2%,7%,12%,4%,4%,10%,3%,0%,5%,0%,2%,%,,
