Catégories,Variables,Réponses,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Unit,Source,Source Link
,,"industriel, patron d'entreprise",0%,0%,1%,1%,2%,1%,1%,2%,1%,1%,0%,1%,%,,
,,"indépendant, artisan, commerçant",23%,25%,23%,22%,7%,18%,30%,27%,22%,24%,27%,24%,%,,
,,"agriculteur, éleveur, pécheur",6%,19%,4%,9%,1%,1%,3%,2%,4%,8%,3%,5%,%,,
,,fonctionnaire,9%,8%,8%,11%,15%,10%,10%,9%,11%,10%,8%,9%,%,,
,,ouvrier,4%,5%,12%,7%,3%,6%,6%,11%,2%,4%,3%,6%,%,,
,,employé dans le secteur privé,12%,9%,5%,10%,15%,14%,7%,6%,10%,13%,8%,9%,%,,
,,en formation,20%,10%,17%,13%,25%,27%,18%,14%,24%,16%,19%,18%,%,,
,,femme au foyer,11%,10%,15%,14%,12%,14%,13%,20%,14%,10%,14%,14%,%,,
,,pas de profession/jamais travaillé,9%,8%,8%,7%,10%,7%,5%,2%,9%,8%,11%,7%,%,,
,,Autre,4%,5%,4%,2%,5%,2%,5%,5%,2%,5%,7%,4%,%,,
,Biens (% possédant le bien),Table,80%,92%,70%,88%,92%,80%,74%,77%,81%,85%,76%,79%,%,,
,,Chaises,71%,92%,67%,86%,90%,77%,70%,72%,74%,80%,69%,75%,%,,
,,Lit,90%,88%,82%,86%,97%,96%,91%,82%,92%,93%,89%,88%,%,,
,,Radio fonctionnelle,78%,81%,82%,87%,87%,84%,87%,77%,80%,73%,80%,81%,%,,
,,Lecteur CD,31%,23%,30%,42%,66%,33%,45%,43%,36%,36%,40%,38%,%,,
,,TV,42%,25%,41%,48%,83%,53%,54%,50%,50%,46%,50%,48%,%,,
,,Vélo,15%,25%,23%,36%,27%,19%,27%,22%,19%,25%,22%,23%,%,,
,,Autre véhicule,17%,15%,22%,21%,41%,18%,24%,16%,21%,23%,22%,20%,%,,
,,Téléphone portable,84%,82%,93%,94%,97%,90%,95%,86%,81%,84%,89%,88%,%,,
,,Accès à l'électricité,44%,38%,56%,59%,91%,65%,77%,69%,63%,63%,62%,63%,%,,
,Revenu moyen mensuel du ménage (FCFA),Aucun (0),0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,%,,
,,< 10 000 / mois,5%,7%,8%,5%,1%,2%,5%,4%,2%,3%,13%,5%,%,,
,,10 001 a 20 000 / mois,11%,12%,10%,8%,14%,5%,7%,11%,9%,15%,8%,9%,%,,
,,20 001 a 30 000 / mois,11%,20%,11%,8%,12%,14%,8%,13%,17%,11%,12%,12%,%,,
,,30 001 a 40 000 / mois,27%,21%,24%,21%,13%,24%,19%,22%,18%,16%,14%,20%,%,,
,,40 001 - 100 000 / mois,30%,28%,29%,34%,23%,32%,41%,32%,33%,35%,29%,33%,%,,
,,100 001 - 200 000 / mois,10%,7%,12%,16%,26%,17%,15%,13%,13%,13%,19%,14%,%,,
,,200 001 - 400 000 / mois,2%,2%,4%,5%,7%,3%,4%,3%,5%,3%,4%,4%,%,,
,,>400 000 / mois,0%,1%,1%,0%,2%,1%,1%,0%,2%,1%,0%,1%,%,,
,,Ne sait pas,1%,1%,1%,1%,1%,3%,0%,0%,2%,2%,0%,1%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
INFORMATION,Principale source d'information (% répondants),"Amis, famille",12%,15%,7%,5%,6%,10%,7%,7%,16%,15%,5%,9%,%,,
,,Radio,81%,80%,83%,87%,79%,81%,86%,82%,77%,80%,87%,82%,%,,
,,Télévision,2%,0%,2%,1%,5%,4%,0%,1%,2%,2%,3%,2%,%,,
,,Journaux écrits,2%,0%,0%,1%,2%,1%,1%,1%,0%,0%,0%,1%,%,,
,,Autorités,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Internet,1%,1%,0%,0%,7%,3%,0%,1%,2%,1%,1%,1%,%,,
,,Autre,1%,4%,7%,5%,1%,2%,5%,7%,1%,1%,4%,4%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Fréquence d'écoute pour la radio (% répondants),Tous les jours,58%,64%,69%,68%,68%,63%,71%,73%,62%,64%,59%,66%,%,,
,,2-6 jours par semaine,28%,24%,24%,26%,23%,25%,24%,17%,21%,22%,32%,24%,%,,
,,1 jour par semaine,5%,3%,4%,1%,4%,8%,2%,4%,10%,9%,5%,5%,%,,
,,Moins d'une fois par semaine,5%,3%,1%,3%,4%,2%,2%,4%,4%,4%,3%,3%,%,,
,,Jamais,5%,5%,3%,1%,1%,2%,0%,2%,3%,2%,1%,2%,%,,
,Stations de radio les plus fréquemment écoutées (% répondants - réponses multiples),Aucune,6%,8%,4%,2%,3%,3%,1%,2%,6%,5%,1%,3%,%,,
,,Radio Centrafricaine,57%,57%,65%,73%,57%,56%,71%,57%,54%,56%,57%,60%,%,,
,,Ndeke Luka,75%,78%,86%,90%,79%,76%,91%,89%,77%,75%,86%,83%,%,,
,,Guira FM,22%,28%,25%,25%,27%,24%,27%,27%,27%,20%,20%,25%,%,,
,,Radio ICDI,3%,4%,5%,3%,3%,2%,5%,2%,2%,1%,1%,3%,%,,
,,RFI Afrique,22%,24%,27%,23%,35%,25%,35%,30%,25%,20%,30%,27%,%,,
,,Bangui FM,46%,48%,44%,50%,31%,32%,41%,47%,45%,54%,34%,43%,%,,
,,Radio Notre-Dame,23%,25%,30%,23%,25%,28%,26%,34%,30%,25%,14%,27%,%,,
,,Voix de l'Evangile,33%,50%,45%,47%,25%,31%,46%,41%,30%,33%,39%,39%,%,,
,,Radio Maria,11%,9%,9%,10%,10%,13%,8%,13%,13%,10%,4%,10%,%,,
,,Radio Chine International,1%,1%,1%,2%,1%,0%,1%,3%,1%,1%,1%,1%,%,,
,,Voix d'Amerique (VOA),1%,1%,1%,5%,5%,3%,5%,2%,2%,3%,2%,3%,%,,
,,Radio Life,3%,2%,3%,5%,6%,7%,7%,10%,7%,5%,3%,6%,%,,
,,Radio COA,1%,0%,0%,0%,1%,1%,0%,1%,1%,1%,1%,1%,%,,
,,BBC Afrique,6%,5%,5%,10%,18%,8%,12%,12%,6%,10%,9%,9%,%,,
,,Autre,2%,4%,1%,2%,2%,3%,2%,5%,2%,3%,11%,4%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,[Sans reponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Raisons pour écouter cette/ ces stations (% répondants - réponses multiples),Je n'ecoute jamais la radio,6%,8%,5%,2%,3%,4%,2%,3%,7%,5%,1%,4%,%,,
,,L'information/ les nouvelles,71%,77%,71%,80%,65%,72%,77%,84%,66%,74%,68%,75%,%,,
,,Contenu religieux/ éducation religieuse,35%,47%,58%,48%,28%,31%,45%,45%,41%,38%,40%,43%,%,,
,,Emissions d'actualité/ Appel sur l'actualité,39%,50%,38%,48%,35%,34%,49%,48%,33%,47%,29%,41%,%,,
,,Communiqués officiels (gouvernement),23%,32%,27%,36%,26%,20%,31%,25%,25%,28%,23%,27%,%,,
,,Communiqués privés,19%,17%,15%,17%,16%,12%,13%,11%,11%,20%,5%,13%,%,,
,,"Emissions éducatives (santé, environnement, etc…)",33%,38%,34%,40%,27%,31%,31%,51%,29%,35%,33%,36%,%,,
,,Musique,26%,40%,35%,35%,34%,25%,34%,39%,25%,35%,28%,32%,%,,
,,Sports - footbal et autre,10%,18%,10%,16%,20%,13%,17%,16%,14%,11%,13%,14%,%,,
,,Jeux concours,13%,25%,32%,38%,22%,16%,37%,26%,19%,22%,33%,26%,%,,
,,Débats,55%,49%,57%,59%,48%,54%,63%,50%,57%,55%,54%,55%,%,,
,,Les présentateurs à la radio,3%,4%,4%,4%,1%,3%,2%,4%,5%,4%,3%,4%,%,,
,,Les personnes invitées,18%,20%,22%,19%,13%,7%,26%,19%,14%,16%,25%,19%,%,,
,,Informations vérifiables,11%,18%,8%,13%,12%,20%,5%,11%,12%,14%,6%,11%,%,,
,,C'est la seule radio que je capte,3%,3%,1%,3%,1%,4%,1%,0%,3%,5%,0%,2%,%,,
,,Autre,1%,1%,6%,1%,3%,0%,6%,4%,0%,2%,15%,4%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Types d'informations qui intéressent (% répondants - réponses multiples),"Les nouvelles du monde (politique, etc…)",70%,66%,65%,70%,65%,64%,70%,73%,67%,71%,67%,69%,%,,
,,Les nouvelles nationales de la RCA,73%,82%,87%,90%,86%,83%,87%,92%,72%,84%,81%,84%,%,,
,,Les nouvelles locales/ communautaires,70%,81%,85%,87%,68%,74%,89%,90%,70%,73%,86%,82%,%,,
,,La sécurité dans le pays,78%,81%,89%,89%,86%,78%,92%,93%,79%,83%,88%,86%,%,,
,,La sécurité au niveau local,73%,77%,84%,91%,79%,76%,88%,93%,72%,79%,87%,83%,%,,
,,La justice et la lutte contre l'impunité en RCA,74%,79%,88%,92%,83%,81%,93%,91%,76%,80%,89%,85%,%,,
,,La politique au niveau national de la RCA,60%,64%,73%,75%,67%,61%,78%,73%,67%,70%,66%,69%,%,,
,,La politique au niveau local,60%,67%,83%,83%,60%,64%,84%,71%,63%,66%,67%,71%,%,,
,,Le programme du gouvernement de la RCA,62%,71%,78%,83%,70%,67%,84%,80%,63%,72%,84%,75%,%,,
,,"Des informations d'intérêts général (santé, religion, sports, environment, etc…)",78%,85%,90%,90%,85%,84%,92%,94%,80%,89%,86%,88%,%,,
COHÉSION SOCIALE,Relations avec les personnes ou groupes suivants (% relations positives),"Vos parents, enfants, époux(se)",92%,93%,92%,93%,93%,94%,90%,90%,96%,93%,90%,92%,%,,
,,Vos voisins,79%,78%,65%,62%,64%,67%,71%,64%,75%,76%,71%,70%,%,,
,,"Plus généralement, avec les personnes de votre quartier/ village",69%,80%,63%,57%,65%,71%,66%,59%,74%,75%,60%,66%,%,,
,,Les membres de votre groupe ethnique,86%,84%,75%,77%,74%,89%,79%,76%,86%,90%,78%,81%,%,,
,,Les membres d'autres groupes ethniques,71%,62%,42%,43%,52%,64%,45%,31%,69%,71%,45%,51%,%,,
,,Les membres de votre religion,87%,90%,83%,87%,86%,89%,86%,85%,86%,95%,82%,86%,%,,
,,Les membres d'autres religions (chrétiens et musulmans),69%,63%,45%,47%,50%,67%,48%,30%,70%,72%,43%,52%,%,,
,Diminution des tensions ethniques / religieuses dans le quartier/ village au cours des 12 derniers mois,% oui,76%,78%,80%,84%,58%,63%,88%,60%,66%,85%,70%,73%,%,,
,Support par quelqu'un qui n'est pas un membre de la famille pour faire les actions suivantes avec vous (% oui):,Veiller sur vos biens pendant votre absence,65%,76%,80%,75%,60%,61%,80%,73%,64%,69%,78%,72%,%,,
,,Partager leurs opinions sur les conflits avec vous,52%,75%,80%,84%,65%,57%,80%,78%,61%,65%,80%,72%,%,,
,,Vous aider à faire votre travail,52%,64%,70%,69%,50%,52%,76%,61%,52%,61%,67%,63%,%,,
,,Partager avec vous des informations sur l'actualité,67%,83%,76%,83%,72%,72%,75%,82%,71%,79%,77%,77%,%,,
,,Vous aider si vous avez besoin d'argent ( comme un prêt/ crédit),32%,49%,49%,48%,35%,31%,50%,48%,33%,35%,35%,42%,%,,
,,Vous aider à résoudre des conflits,50%,66%,69%,71%,41%,41%,64%,72%,44%,50%,63%,59%,%,,
,,Vous aider si vous étiez malade,56%,67%,63%,65%,59%,48%,65%,65%,52%,59%,62%,61%,%,,
,,"Quelqu'un qui fait des blagues, qui rit avec vous",73%,74%,60%,68%,63%,71%,56%,61%,70%,80%,54%,65%,%,,
,Support par les personnes ou groupes suivants pour vous aider en cas de besoin (% support positif):,Des voisins,55%,65%,60%,57%,34%,46%,62%,46%,56%,68%,42%,54%,%,,
,,Un membre de votre groupe ethnique,68%,66%,66%,63%,50%,63%,68%,51%,68%,66%,54%,62%,%,,
,,Quelqu'un d'un autre groupe ethnique,49%,41%,28%,28%,18%,33%,28%,21%,41%,43%,17%,31%,%,,
,,Quelqu'un de votre religion,70%,77%,66%,76%,66%,67%,73%,60%,73%,79%,59%,69%,%,,
,,Quelqu'un d'une autre religion que la vôtre (chrétien ou musulman),45%,37%,29%,32%,26%,30%,27%,18%,43%,43%,20%,30%,%,,
,Niveau de confiance dans les personnes ou groupes suivants (% confiant):,"Vos parents, enfants, époux",87%,89%,89%,89%,89%,81%,90%,85%,85%,90%,86%,87%,%,,
,,Vos amis,31%,35%,27%,30%,28%,35%,25%,20%,34%,38%,15%,27%,%,,
,,Les gens de ce quartier/ village,42%,50%,43%,39%,31%,42%,40%,30%,40%,45%,30%,38%,%,,
,,Les gens de votre groupe ethnique,51%,68%,55%,61%,48%,57%,61%,56%,60%,63%,41%,57%,%,,
,,Les gens d'un autre groupe ethnique,39%,34%,23%,25%,21%,36%,27%,20%,36%,41%,19%,28%,%,,
,,Les gens de votre groupe religieux,72%,75%,68%,77%,64%,70%,75%,66%,69%,82%,62%,70%,%,,
,,Les gens d'une autre religion,44%,40%,28%,31%,26%,36%,31%,23%,39%,49%,24%,32%,%,,
,,Les autorités du quartier/ village,55%,52%,48%,52%,41%,48%,40%,36%,48%,60%,25%,44%,%,,
,,Les autorités de la ville/ commune,54%,47%,44%,39%,43%,43%,45%,32%,45%,55%,30%,42%,%,,
,,Les autorités locales,50%,51%,45%,48%,38%,46%,44%,32%,46%,56%,32%,43%,%,,
,,Les autorités nationales,51%,52%,55%,50%,46%,52%,56%,50%,51%,60%,41%,51%,%,,
,,Les chefs religieux de votre religion,75%,79%,76%,83%,75%,71%,77%,82%,73%,84%,66%,76%,%,,
,,Les chefs religieux des autres religions,49%,41%,35%,34%,35%,38%,33%,25%,49%,54%,30%,37%,%,,
,,Les ONGs nationales,59%,66%,60%,72%,39%,48%,68%,52%,54%,66%,44%,57%,%,,
,,Les ONGs internationales,55%,59%,60%,61%,41%,52%,67%,50%,46%,67%,46%,55%,%,,
,,Les Nations Unies,44%,41%,40%,45%,29%,38%,38%,27%,37%,49%,35%,37%,%,,
,,La police,80%,74%,69%,65%,65%,71%,76%,65%,76%,77%,68%,72%,%,,
,,La gendarmerie,80%,77%,72%,77%,70%,75%,76%,75%,76%,80%,66%,75%,%,,
,,Les FACA,77%,70%,75%,70%,66%,68%,81%,82%,80%,81%,71%,76%,%,,
,,Les juges / la justice,72%,70%,71%,69%,61%,72%,72%,73%,72%,77%,56%,70%,%,,
,,La MINUSCA,29%,24%,23%,16%,19%,28%,14%,17%,20%,30%,14%,20%,%,,
,,Les groupes armés,4%,2%,5%,3%,5%,3%,5%,5%,6%,5%,2%,4%,%,,
,,Les chefs traditionnels,48%,55%,60%,56%,35%,46%,57%,33%,45%,56%,47%,48%,%,,
,,Les médias en général,61%,67%,66%,71%,52%,60%,65%,73%,63%,66%,51%,65%,%,,
,Niveau de confort avec les personnes ou groupes suivants (% confortable):,Des personnes déplacées,87%,93%,90%,89%,85%,84%,92%,81%,84%,90%,96%,88%,%,,
,,Des soldats / militaires,88%,87%,86%,79%,78%,86%,87%,77%,87%,87%,92%,85%,%,,
,,Des musulmans,51%,44%,45%,53%,53%,62%,47%,46%,41%,49%,51%,48%,%,,
,,Des chrétiens,98%,96%,90%,89%,98%,96%,92%,83%,95%,99%,97%,93%,%,,
,,Des Tchadiens,32%,34%,38%,40%,32%,40%,39%,37%,27%,27%,45%,36%,%,,
STÉRÉOTYPES ENVERS D'AUTRES GROUPES ET DISCRIMINATION,"Sentiment par rapport aux personnes d'une autre religion, ils sont… (% souvent et tout le temps):",Ils sont violents,22%,33%,34%,30%,27%,25%,33%,40%,24%,31%,40%,32%,%,,
,,Ils sont paresseux,20%,19%,20%,16%,20%,20%,21%,21%,22%,22%,24%,21%,%,,
,,Ils cherchent à créer des conflits,28%,39%,36%,35%,35%,36%,42%,45%,38%,33%,49%,40%,%,,
,,Ils prennent nos terres,22%,31%,34%,35%,20%,24%,37%,47%,29%,26%,31%,33%,%,,
,"Sentiment par rapport aux personnes d'un autre groupe ethnique, ils sont...(% souvent et tout le temps):",Ils sont violents,29%,38%,35%,42%,30%,32%,37%,44%,30%,32%,44%,37%,%,,
,,Ils sont paresseux,31%,30%,21%,21%,26%,36%,22%,20%,34%,32%,26%,26%,%,,
,,Ils cherchent à créer des conflits,36%,46%,43%,45%,44%,43%,49%,53%,43%,36%,49%,46%,%,,
,,Ils prennent nos terres,25%,38%,40%,43%,28%,28%,37%,49%,35%,29%,36%,37%,%,,
,Discrimination (% oui),Avez-vous déjà été traité injustement à cause de votre religion (% oui)?,10%,16%,16%,18%,8%,7%,13%,21%,11%,9%,10%,14%,%,,
,,Dans les 12 derniers mois (% oui),95%,57%,31%,57%,76%,81%,50%,37%,92%,79%,65%,57%,%,,
,,Avez-vous déjà été traité injustement à cause de votre groupe ethnique ?,9%,17%,12%,19%,8%,9%,7%,19%,8%,8%,8%,12%,%,,
,,Dans les 12 derniers mois (% oui),79%,71%,38%,59%,47%,75%,31%,50%,82%,72%,50%,57%,%,,
,Religion (% répondants),Chrétien - Protestant,55%,65%,80%,70%,64%,63%,75%,81%,63%,69%,63%,70%,%,,
,,Musulman,2%,1%,0%,1%,5%,2%,1%,1%,0%,1%,1%,1%,%,,
,,Animiste,1%,1%,0%,3%,2%,1%,0%,0%,2%,2%,0%,1%,%,,
,,Adventiste,4%,3%,1%,3%,3%,4%,2%,1%,2%,4%,2%,2%,%,,
,,Kimbanguiste,4%,2%,0%,1%,3%,2%,0%,1%,2%,2%,0%,1%,%,,
,,Témoin de Jéhovah,5%,3%,2%,4%,8%,4%,4%,1%,5%,2%,3%,3%,%,,
,,Autre,29%,26%,16%,18%,15%,24%,17%,15%,25%,20%,30%,21%,%,,
ENGAGEMENT CIVIQUE,Membre d'un groupe ou association,Oui,32%,60%,44%,62%,40%,38%,55%,52%,30%,56%,42%,47%,%,,
,"Au cours de la dernière année, avez-vous participé aux choses suivantes (% oui):",À une réunion communautaire,35%,66%,56%,70%,36%,44%,62%,66%,37%,62%,45%,55%,%,,
,,"À des rencontres culturelles, récréationelles ou sportives",37%,49%,53%,61%,48%,43%,57%,62%,37%,49%,48%,51%,%,,
,,"À des rencontres communautaires ayant pour objectif l'amélioration de la sécurité dans les rues, les parcs ou votre village",30%,44%,47%,61%,39%,37%,63%,66%,30%,35%,43%,48%,%,,
,,À des rencontres organisées par les parties ou groupes politiques,17%,23%,33%,35%,17%,18%,27%,40%,19%,24%,12%,26%,%,,
,,À des recontres ayant pour objectif de construire des infrastructures publiques ou d'améliorer les espaces publics,26%,33%,45%,50%,37%,34%,48%,59%,25%,30%,26%,40%,%,,
,,À des rencontres ayant pour objectif de construire la paix,30%,55%,59%,67%,49%,44%,55%,66%,35%,48%,47%,52%,%,,
,Les hommes et les femmes participent à la vie communautaire de façon égale dans ce village/ quartier,oui,48%,71%,62%,74%,65%,62%,67%,76%,47%,67%,64%,65%,%,,
,Les gens ont ou peuvent…. (% beaucoup et extrèmement),la capacité d’apporter un changement dans leur quartier,76%,74%,70%,70%,65%,71%,70%,67%,75%,80%,71%,72%,%,,
,,la possibilité de participer aux décisions qui concernent le quartier,72%,72%,50%,54%,61%,68%,55%,51%,74%,71%,49%,60%,%,,
,,contribuer à la paix dans leur communauté,78%,75%,68%,72%,70%,78%,74%,66%,76%,75%,76%,73%,%,,
,,contribuer à la réconciliation dans leur communauté,77%,72%,64%,66%,66%,75%,61%,62%,76%,72%,56%,67%,%,,
,Sentiment de contrôle sur les choses suivantes (% beaucoup et extrèmement),Les décisions prises par les autorités administratives dans le village/le quartier,42%,35%,35%,43%,25%,42%,31%,35%,40%,46%,21%,36%,%,,
,,Les décisions prises par les autorités administratives au niveau de la prefecture,37%,27%,26%,29%,19%,31%,28%,25%,32%,37%,18%,28%,%,,
,,Les décisions prises par les autorités administratives au niveau national,46%,33%,39%,45%,34%,39%,38%,43%,46%,47%,22%,40%,%,,
,Les hommes et les femmes ont le même niveau d'influence sur les décisions prises par les autorités au niveau du village/ du quartier,Oui,77%,79%,78%,79%,72%,83%,80%,82%,72%,71%,81%,79%,%,,
,Les hommes et les femmes ont le même niveau d'influence sur les décisions prises par les autorités au niveau national,Oui,79%,74%,72%,73%,72%,79%,79%,82%,74%,79%,72%,77%,%,,
,Tous les groupes ethniques ont le même niveau d'influence sur les décisions prises par les autorités du village/ du quartier,Oui,71%,68%,69%,66%,70%,77%,74%,70%,65%,62%,80%,71%,%,,
,Tous les groupes religieux ont le même niveau d'influence sur les décisions prises par les autorités du village/ du quartier,Oui,73%,76%,61%,65%,63%,77%,72%,65%,66%,73%,72%,70%,%,,
,Capacité à s'exprimer (% perception positive),Libre d’exprimer vos préoccupations à la maison,76%,86%,82%,83%,75%,71%,82%,73%,80%,73%,81%,78%,%,,
,,Libre d’exprimer vos préoccupations dans votre quartier,64%,52%,50%,51%,39%,57%,48%,46%,61%,53%,44%,51%,%,,
,,"Il est inutile de parler, vous ne pouvez pas être entendu, personne ne vous écoute",27%,40%,53%,47%,26%,31%,55%,53%,30%,20%,49%,43%,%,,
PERCEPTIONS DES SERVICES/ PERFORMANCES/ REPRÉSENTATION,Perception des services (% bon et très bon),Logement,64%,51%,64%,64%,82%,58%,68%,52%,59%,64%,56%,60%,%,,
,,Accès à l'eau potable,42%,16%,31%,26%,67%,58%,14%,29%,28%,51%,14%,30%,%,,
,,Accès à la nourriture,46%,30%,47%,42%,66%,50%,46%,37%,43%,47%,39%,43%,%,,
,,Accès aux soins de santé,46%,20%,25%,25%,60%,42%,34%,34%,39%,45%,25%,34%,%,,
,,Accès aux services d'éducation (pour vous ou vos enfants),62%,52%,55%,59%,74%,67%,67%,60%,62%,64%,51%,61%,%,,
,,Possibilités de trouver un emploi / du travail,14%,17%,29%,26%,20%,15%,31%,26%,12%,12%,16%,21%,%,,
,,Accès à l'information / aux nouvelles,67%,62%,65%,71%,69%,64%,72%,63%,63%,66%,60%,65%,%,,
,Perception des efforts de l'État (% positif),Pour réduire la pauvreté,55%,51%,57%,52%,40%,50%,54%,52%,45%,50%,52%,52%,%,,
,,"Pour améliorer l'emploi, la situation économique",56%,52%,57%,45%,41%,48%,51%,47%,46%,55%,38%,49%,%,,
,,Pour établir la paix,70%,69%,60%,65%,56%,69%,63%,57%,61%,70%,64%,63%,%,,
,,Pour établir la sécurité,67%,65%,60%,58%,51%,68%,55%,52%,60%,71%,52%,59%,%,,
,,Pour lutter contre la corruption,44%,44%,39%,36%,29%,42%,39%,28%,37%,40%,35%,37%,%,,
,,Pour unir les différents groupes ethniques et religieux,78%,63%,62%,62%,56%,74%,65%,65%,72%,76%,47%,66%,%,,
,,Pour lutter contre l'impunité,60%,60%,60%,56%,47%,59%,61%,53%,56%,63%,52%,57%,%,,
,Perception des efforts des acteurs suivants pour améliorer la vie des centrafricains (% bon et très bon),ONG internationales,77%,75%,65%,70%,60%,76%,70%,64%,76%,80%,53%,69%,%,,
,,ONG nationales,83%,81%,66%,72%,71%,82%,78%,71%,80%,89%,62%,75%,%,,
,,Nations Unies,65%,59%,50%,47%,45%,65%,46%,41%,61%,69%,39%,52%,%,,
,,État,76%,69%,70%,65%,55%,79%,73%,69%,71%,74%,48%,69%,%,,
,Sentiment de représentation par les acteurs suivants (% bien et très bien),Les autorités d'administration locales (Chefs de quartier ou de village),74%,70%,74%,77%,67%,73%,72%,61%,66%,74%,67%,69%,%,,
,,Les autorités administratives au niveau de la préfecture,59%,59%,63%,61%,54%,65%,60%,61%,55%,62%,53%,59%,%,,
,,Le gouvernment central / national,74%,72%,66%,68%,66%,71%,73%,81%,65%,75%,69%,72%,%,,
,Les autorités représentent les intérêts des hommes et des femmes de façon égale (% oui),Traitent de façon égale,77%,82%,89%,82%,69%,74%,83%,85%,70%,74%,76%,79%,%,,
,,Hommes privilégiés,12%,12%,10%,15%,16%,13%,14%,8%,16%,14%,18%,13%,%,,
,,Femmes privilégiées,11%,6%,1%,3%,14%,13%,2%,6%,14%,12%,5%,7%,%,,
,Les autorités (en général) représentent les intérêts de tous les groupes ethniques de façon égale (% oui),Traitent de façon égale,66%,68%,73%,69%,59%,64%,70%,75%,63%,59%,61%,67%,%,,
,,Certains groupes sont privilégiés,34%,32%,26%,31%,41%,36%,30%,24%,37%,40%,39%,32%,%,,
